,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,150,148,174,89,230,0,176,207,282,0,237,4,183,206,189,181
layer_1,319,153,137,69,357,301,389,320,310,199,260,229,225,189,0,158
layer_2,174,237,311,266,100,240,333,319,349,295,205,160,185,159,132,178
layer_3,595,164,392,87,342,215,336,145,286,225,253,183,7,192,125,200
layer_4,283,168,100,553,390,358,266,269,113,232,106,116,136,120,181,157
layer_5,223,640,29,296,219,203,213,54,88,68,69,82,62,62,62,62
layer_6,181,560,224,8,125,207,256,119,59,55,58,62,65,62,61,66
layer_7,434,362,296,28,608,333,168,91,0,67,69,64,66,62,62,63
layer_8,558,561,492,560,246,134,107,113,79,62,62,62,62,62,62,62
layer_9,533,511,578,365,267,196,88,74,93,62,63,62,62,70,62,62
layer_10,539,159,381,210,80,125,70,95,67,62,62,62,62,62,62,62
layer_11,674,553,460,80,12,125,138,65,62,63,62,60,62,66,62,62
layer_12,102,470,108,265,204,109,62,65,79,62,63,62,62,62,61,62
layer_13,604,286,171,85,75,75,97,64,62,62,67,63,62,62,62,62
layer_14,460,490,91,73,65,81,62,76,81,64,63,62,70,64,62,63
layer_15,350,662,234,88,70,64,132,63,63,62,62,63,62,62,62,62
layer_16,248,542,72,71,79,64,63,138,62,62,64,62,62,62,62,62
layer_17,648,421,64,74,80,62,70,62,73,62,63,62,62,62,114,62
layer_18,621,478,175,63,63,65,83,62,62,62,62,63,62,63,62,85
layer_19,240,94,125,69,62,64,66,62,62,62,62,62,62,62,62,62
layer_20,364,91,74,151,66,64,64,62,62,62,62,62,62,62,62,61
layer_21,193,512,62,168,63,74,62,89,62,62,62,230,62,62,47,62
layer_22,464,263,600,129,97,373,337,323,117,63,62,62,62,62,99,63
layer_23,614,148,626,564,337,351,440,368,199,112,240,110,115,117,106,88
