,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,38.0,71.0,52.0,66.0,91.0,69.0,73.0,44.0,41.0,34.0,15.0,56.0,14.0,44.0,19.0,30.0
layer_1,29.0,47.0,11.0,13.0,4.0,4.0,5.0,44.0,8.0,5.0,3.0,2.0,5.0,12.0,11.0,3.0
layer_2,31.0,69.0,11.0,5.0,19.0,1.0,4.0,20.0,7.0,1.0,5.0,4.0,6.0,1.0,6.0,9.0
layer_3,68.0,61.0,75.0,9.0,10.0,30.0,1.0,11.0,16.0,1.0,7.0,5.0,5.0,9.0,8.0,2.0
layer_4,38.0,96.0,65.0,42.0,45.0,62.0,97.0,5.0,2.0,4.0,11.0,3.0,9.0,4.0,21.0,14.0
layer_5,17.0,74.0,107.0,14.0,10.0,3.0,7.0,2.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_6,126.0,60.0,74.0,20.0,3.0,4.0,53.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_7,35.0,84.0,45.0,94.0,35.0,46.0,72.0,8.0,22.0,6.0,7.0,3.0,2.0,2.0,2.0,2.0
layer_8,35.0,81.0,50.0,35.0,6.0,29.0,2.0,2.0,17.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
layer_9,52.0,110.0,26.0,16.0,11.0,2.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_10,28.0,63.0,5.0,59.0,50.0,16.0,28.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_11,65.0,49.0,38.0,21.0,2.0,15.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_12,64.0,83.0,3.0,45.0,12.0,10.0,2.0,9.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_13,20.0,80.0,23.0,25.0,2.0,6.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
layer_14,44.0,54.0,11.0,24.0,6.0,15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_15,50.0,76.0,18.0,17.0,2.0,2.0,44.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_16,62.0,34.0,2.0,43.0,5.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_17,45.0,53.0,58.0,5.0,5.0,3.0,20.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_18,33.0,92.0,45.0,34.0,20.0,8.0,8.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
layer_19,79.0,34.0,129.0,21.0,12.0,15.0,53.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
layer_20,51.0,108.0,28.0,3.0,8.0,8.0,2.0,4.0,11.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
layer_21,88.0,35.0,14.0,45.0,5.0,13.0,44.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,53.0,4.0
layer_22,105.0,82.0,92.0,27.0,49.0,69.0,17.0,51.0,2.0,4.0,2.0,2.0,9.0,2.0,4.0,6.0
layer_23,113.0,139.0,32.0,117.0,70.0,102.0,49.0,51.0,9.0,76.0,26.0,31.0,24.0,40.0,9.0,30.0
