,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,11.335236,10.995262,11.696708,13.25569,14.425394,15.510188,21.545424,14.281882,11.855104,14.665895,7.5983377,21.527369,11.028015,16.533533,11.013031,13.521612
layer_1,5.2233677,12.60536,7.82182,9.300414,4.1598334,3.1564846,4.914696,17.084736,9.421251,6.812098,7.7615333,7.127435,8.752549,14.367616,5.9093595,8.587072
layer_2,5.0314417,13.639231,10.063822,4.977528,8.670888,2.2140393,7.596997,12.167912,9.832768,5.217482,9.082262,13.431691,6.222431,6.637099,4.7469473,10.392528
layer_3,11.047434,9.712408,15.99351,4.346468,15.4115925,15.222813,5.592407,9.323663,7.871885,4.6810756,5.085392,8.908215,9.871511,7.1679626,11.649275,3.907739
layer_4,6.375841,17.060503,9.308916,7.463067,21.701752,11.6789465,37.387653,8.23909,10.793306,16.895098,8.085131,6.517673,11.131086,10.5202265,13.165589,13.763715
layer_5,7.9087396,11.314148,25.628916,6.399604,5.439852,7.153808,15.550413,5.2599096,20.458855,4.622548,13.159231,5.8064237,6.929974,9.756791,5.494555,7.8490353
layer_6,15.440469,15.710958,5.231949,9.496947,9.640859,10.021632,20.604223,10.017899,9.922993,11.366641,4.2699127,3.3921115,3.1011696,3.500469,3.2582111,2.4980369
layer_7,6.3395605,15.9471655,12.949239,26.376568,9.724086,7.402417,5.5198255,17.22277,11.551437,3.8822918,4.642418,2.4601374,3.3932018,6.064803,2.5618558,7.4513116
layer_8,7.215527,8.700418,16.523478,20.176725,4.8321166,16.38622,13.381318,6.220716,16.67628,6.538124,7.1878405,2.594683,4.696043,3.4769433,2.292033,2.0765526
layer_9,11.384389,18.502682,9.1626,12.658811,18.977211,12.466741,6.42897,14.547008,5.382935,5.714976,4.650484,4.1613874,4.527151,2.5103562,2.0343578,2.1507924
layer_10,12.332891,24.277813,9.600842,6.8797736,21.063967,18.329466,16.451649,11.236171,6.1503906,8.770839,2.2883363,8.866129,2.1984775,2.079221,2.712161,2.033054
layer_11,10.98562,17.982124,10.890104,17.900578,12.452456,25.417387,5.0666447,8.299044,7.1029706,4.4894967,10.365499,2.0329933,2.2637417,2.6998522,2.581669,2.1869004
layer_12,19.552893,12.724073,9.593234,14.7044935,8.701965,14.4722805,15.33012,15.295758,3.6304212,7.002764,2.5834153,3.1800518,4.739413,2.6175926,2.1901023,4.6735387
layer_13,10.177796,15.965511,17.111519,19.698523,11.906587,12.290776,7.2633495,14.476516,11.18516,8.45283,5.777517,7.890313,4.608966,2.220148,3.4487526,3.0944788
layer_14,22.084211,4.1210294,10.644601,20.156971,7.275559,11.824703,12.167132,6.201346,3.706229,7.5349927,3.4523973,2.1889296,7.858461,2.4239976,4.791003,5.192809
layer_15,10.181066,14.118671,4.865004,8.18013,12.949052,6.140958,17.735197,6.6151853,7.7363696,4.869896,10.399281,3.2370336,3.1391184,8.021717,3.8961954,4.8594584
layer_16,13.238841,10.558305,7.182461,5.815986,8.419402,10.243931,6.3000126,11.104278,4.9129014,4.005586,2.5443327,3.740928,2.776888,4.0058503,3.1696782,3.493441
layer_17,3.9170125,14.93559,12.149634,12.615142,3.5715976,7.5683146,3.4923363,17.263533,4.922021,4.6223807,3.1705213,3.1349123,2.3750596,3.4171484,2.3574936,3.85703
layer_18,4.1408815,7.561876,6.1715674,15.156719,5.068732,6.2262216,4.156686,7.611585,4.5710206,3.8757277,2.7014606,2.4869337,2.4508364,2.6767125,3.6718776,2.6575005
layer_19,5.789317,7.6576385,11.114706,3.8251364,7.202822,11.934868,9.130762,5.345404,2.9418762,3.2844648,2.9336345,4.392581,4.7333374,2.5375123,3.3864322,9.391034
layer_20,6.97828,13.234723,11.849773,7.229179,7.245253,6.050506,8.990905,4.218899,3.477269,2.858399,5.2423716,2.564235,2.568058,2.3474152,2.4990852,3.7352934
layer_21,2.9988205,9.888989,6.1053147,5.836936,6.5429726,6.3197165,5.819142,4.3859906,5.439879,3.1743622,2.810746,2.636069,2.5329947,2.995377,20.929302,5.0838675
layer_22,7.482127,10.437294,20.525837,11.507931,12.418712,9.558154,6.0150776,15.283779,5.235135,4.405265,4.0493736,3.7681024,7.312514,3.2057815,8.765591,11.547116
layer_23,9.09692,8.290928,12.822076,19.586979,12.80936,14.783218,18.48143,10.507187,11.681401,15.802689,11.312909,10.872818,13.65828,13.267023,9.1594715,15.119551
