,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,1,6,1,5,7,7,7,3,6,3,2,8,3,5,4,0
layer_1,1,1,0,0,0,1,0,9,1,0,0,0,0,1,0,1
layer_2,1,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0
layer_3,1,1,11,0,0,11,0,1,2,0,0,0,0,1,0,0
layer_4,1,4,4,5,4,6,13,1,0,0,0,0,0,0,2,2
layer_5,2,5,1,2,0,0,2,0,3,0,0,0,0,0,0,0
layer_6,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
layer_7,1,12,3,9,2,0,2,3,1,0,1,0,0,0,0,0
layer_8,1,4,5,8,0,0,0,0,2,0,1,0,0,0,0,0
layer_9,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0
layer_10,5,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0
layer_11,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
layer_12,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
layer_13,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
layer_14,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
layer_15,5,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
layer_16,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
layer_17,2,1,3,1,0,1,2,2,0,0,0,0,0,0,0,0
layer_18,3,6,6,4,0,1,0,0,0,0,0,0,0,0,0,0
layer_19,2,5,7,0,0,0,5,0,0,0,0,0,0,0,0,0
layer_20,3,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0
layer_21,4,1,1,4,0,2,3,0,1,0,0,0,0,0,2,0
layer_22,8,6,8,3,1,8,1,4,0,0,0,0,1,0,0,1
layer_23,8,9,1,10,5,6,1,4,0,4,0,0,0,0,1,1
