,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,0,0,0,7,0,0,0,0,0,0
layer_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
layer_2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
layer_3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4
layer_4,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,10,0,0,0,0
layer_5,0,0,4,0,1,0,1,0,0,0,0,0,3,1,0,2,5,3,2,0,0,0,5,1,0,1,0,0,1,3,8,3
layer_6,3,7,2,7,0,0,0,0,0,0,0,0,4,0,1,1,0,2,1,1,0,5,0,0,4,1,0,0,2,7,1,5
layer_7,5,0,7,0,1,0,1,0,0,0,0,0,0,1,4,5,4,15,0,0,0,0,0,1,0,0,5,0,0,0,0,4
layer_8,1,0,2,0,1,0,2,2,0,6,1,2,5,3,0,3,0,0,0,0,0,0,0,1,0,25,4,0,0,22,0,1
layer_9,0,0,0,0,2,4,0,1,0,0,0,0,0,18,7,4,3,0,1,0,0,0,0,4,0,0,2,0,0,0,1,1
layer_10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,1,0,0,0,0,1,1,0
layer_11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
layer_12,0,0,0,1,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
layer_13,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
layer_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
layer_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
