,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,57,64,33,43,56,30,75,82,53,51,23,60,20,42,28,55
layer_1,56,56,13,8,8,5,2,53,21,16,15,13,32,31,15,15
layer_2,57,63,11,8,5,2,6,58,12,6,8,15,10,8,5,8
layer_3,45,58,38,14,12,31,41,19,21,1,17,16,15,21,4,8
layer_4,63,78,64,6,87,30,49,11,15,2,40,7,6,7,8,15
layer_5,49,68,37,11,23,30,33,13,13,12,21,14,9,9,8,7
layer_6,97,61,15,46,10,8,69,42,11,10,8,10,8,8,8,8
layer_7,63,67,74,68,54,35,10,60,12,10,12,8,8,9,8,9
layer_8,63,110,48,41,20,62,10,26,20,11,8,8,8,8,8,8
layer_9,65,61,71,12,24,17,15,11,9,8,8,9,8,9,8,8
layer_10,113,41,21,124,12,20,57,13,9,8,8,17,8,8,8,8
layer_11,68,52,73,9,11,31,15,8,22,8,9,8,8,9,8,8
layer_12,66,58,23,12,13,27,19,11,13,17,8,13,8,8,8,9
layer_13,27,80,33,11,21,12,8,9,20,10,13,8,8,8,8,8
layer_14,95,18,12,42,16,18,16,10,28,16,8,8,8,9,8,8
layer_15,51,72,39,17,15,9,24,11,14,11,8,8,8,7,8,8
layer_16,68,48,12,13,9,50,10,9,14,8,8,8,8,9,8,8
layer_17,50,96,14,12,11,11,11,11,10,11,9,8,8,8,8,8
layer_18,44,42,12,28,11,8,8,8,15,9,8,8,8,8,8,8
layer_19,41,20,15,18,13,23,15,12,8,9,8,8,8,8,8,8
layer_20,65,71,31,16,9,22,12,11,11,8,8,8,8,8,8,8
layer_21,55,64,23,26,8,13,21,9,10,9,8,8,8,8,48,10
layer_22,63,50,60,16,31,21,30,54,8,10,8,8,9,8,8,8
layer_23,64,60,56,69,29,58,16,46,41,38,13,8,13,17,23,14
