,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,430.05093,68.04216,371.94214,39.530067,71.236534,63.815968,54.206814,67.53864,113.22342,97.234535,125.90329,345.6643,28.464178,31.405104,33.045246,158.74643,17.917967,77.49961,13.413664,18.33076,100.94694,74.51635,33.736557,204.8397,132.49301,203.88316,130.06828,148.13275,17.808548,0.79955006,4.701879,0.0022855944
layer_1,174.17471,166.25633,23.263853,81.595634,45.860535,28.694534,28.250076,13.586619,24.022211,18.628574,194.98727,90.7621,174.63528,19.402525,45.980038,18.044548,103.920975,66.22438,50.36272,13.024392,137.28645,267.95065,23.745958,17.300217,76.16696,13.955312,24.296986,18.15232,174.75024,89.947334,87.83842,25.581205
layer_2,39.37869,9.841945,45.885757,13.326036,78.91993,76.412,28.649103,134.21269,49.063988,35.343384,28.369696,15.324497,1.5096763,18.67056,21.236118,13.405512,39.212658,18.819704,24.61993,67.6533,4.307479,0.23513721,3.7172382,2.4968731,28.193396,0.5947559,10.742151,21.713633,27.743944,23.357533,53.756416,89.465675
layer_3,57.661846,31.222431,77.72831,20.823643,63.859154,53.92854,61.95287,74.16739,110.57314,24.324686,91.62787,104.09835,81.26369,167.11728,46.665356,175.29231,273.2255,86.83786,28.88572,37.076286,72.93338,110.28449,116.12079,27.823456,143.67459,54.579906,31.855995,23.18606,232.87697,110.95052,198.5417,169.78589
layer_4,46.771942,40.4196,38.05264,14.118358,170.44466,77.93066,262.59723,191.44217,145.9607,190.20253,91.2106,47.030724,118.198975,204.2367,48.389008,123.30837,12.907408,219.08795,63.353077,29.159771,19.055113,19.757797,68.59995,224.46136,122.16097,96.4295,51.53628,132.31943,24.78949,13.855092,8.341621,102.934265
layer_5,24.077732,77.43762,88.42176,161.71011,118.26117,14.81589,69.62204,40.828625,1.944551,2.9806962,0.7345026,17.820637,145.73062,116.08172,70.648155,157.77588,211.2083,207.92165,190.50963,88.50419,37.19007,77.17968,55.16878,53.959244,39.91301,95.7768,87.11173,95.60696,194.87202,201.01108,212.05014,110.097206
layer_6,78.18339,162.31012,17.467709,32.513996,180.01424,80.37023,110.86058,196.42209,162.35274,68.78634,228.91093,244.50786,156.57889,397.0233,93.73675,296.58218,234.9719,50.89686,104.198166,137.5531,302.09067,123.61822,136.34601,95.56369,70.95212,199.82812,76.029076,69.09306,62.989597,176.25803,174.59071,9.792929
layer_7,134.98586,166.31296,565.3158,41.706924,225.45541,98.5723,97.96711,101.11523,292.73056,269.72772,407.55026,403.26218,260.2072,109.94506,85.95161,115.16245,186.3189,380.5585,221.43855,261.9999,199.90636,179.29568,69.42912,97.22967,89.90902,6.259436,112.98131,119.39711,231.11288,135.24695,161.09729,172.5982
layer_8,64.52262,6.994246,110.34641,82.111244,213.23848,256.74957,135.7954,188.46054,77.20928,56.040665,79.70971,20.366047,168.7146,208.18176,109.60687,272.15976,211.39667,172.9846,179.6514,249.6849,153.68912,246.19162,308.44318,60.363213,178.33655,120.479706,88.08742,137.34044,111.30619,151.81499,175.67691,340.70602
layer_9,190.58978,222.41292,213.05415,168.58067,107.48989,63.33997,105.17485,22.247225,442.53363,606.6611,287.1454,335.20386,81.528656,95.34833,109.21615,113.30549,171.40646,202.01407,109.92916,246.4232,179.51074,86.01225,145.89772,134.06274,180.60036,53.31694,100.7412,15.523577,139.70021,212.78622,203.27925,111.23426
