,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,13,7,0,0,95,11,28,40,2,66,0,2
layer_1,7,0,3,4,0,4,19,1,0,0,64,0
layer_2,1,0,21,61,1,9,11,0,0,0,9,0
layer_3,2,1,1,31,0,0,0,1,0,84,9,0
layer_4,0,0,0,0,4,6,2,27,0,4,6,16
layer_5,0,0,0,38,4,37,0,0,0,0,0,0
layer_6,25,0,0,0,5,0,49,1,0,0,30,0
layer_7,7,1,16,4,29,28,10,41,50,48,0,0
layer_8,5,27,0,29,0,0,0,2,2,35,0,14
layer_9,21,0,5,34,8,0,20,7,9,12,1,3
layer_10,2,0,6,22,14,0,0,10,0,15,1,0
layer_11,0,0,1,0,1,40,2,1,1,6,0,20
