,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,69.0,73.0,30.0,18.0,79.0,26.0,82.0,19.0,27.0,12.0,36.0,50.0,16.0,27.0,60.0,33.0
layer_1,85.0,68.0,7.0,6.0,10.0,2.0,3.0,74.0,4.0,5.0,8.0,7.0,15.0,15.0,8.0,12.0
layer_2,68.0,71.0,16.0,8.0,28.0,1.0,23.0,13.0,2.0,3.0,2.0,29.0,5.0,2.0,1.0,4.0
layer_3,55.0,81.0,122.0,6.0,28.0,26.0,4.0,6.0,5.0,5.0,2.0,14.0,7.0,5.0,8.0,1.0
layer_4,71.0,56.0,84.0,14.0,38.0,48.0,160.0,1.0,7.0,27.0,3.0,7.0,5.0,5.0,17.0,25.0
layer_5,40.0,67.0,83.0,8.0,10.0,5.0,85.0,5.0,19.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0
layer_6,83.0,77.0,51.0,7.0,11.0,7.0,45.0,7.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_7,71.0,52.0,141.0,96.0,64.0,68.0,15.0,8.0,44.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
layer_8,71.0,96.0,68.0,64.0,4.0,26.0,5.0,5.0,19.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_9,79.0,79.0,16.0,30.0,13.0,6.0,5.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_10,63.0,88.0,5.0,9.0,17.0,26.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_11,88.0,43.0,30.0,76.0,8.0,19.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0
layer_12,57.0,56.0,10.0,44.0,5.0,53.0,6.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_13,46.0,84.0,6.0,33.0,5.0,11.0,6.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_14,32.0,5.0,11.0,68.0,5.0,14.0,9.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0
layer_15,78.0,63.0,7.0,32.0,11.0,5.0,34.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
layer_16,72.0,22.0,5.0,8.0,8.0,32.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_17,81.0,55.0,59.0,21.0,4.0,6.0,13.0,51.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_18,61.0,68.0,14.0,50.0,9.0,12.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
layer_19,73.0,51.0,93.0,9.0,5.0,19.0,47.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
layer_20,82.0,73.0,86.0,7.0,7.0,9.0,4.0,7.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0
layer_21,97.0,63.0,6.0,5.0,5.0,11.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,33.0,5.0
layer_22,95.0,66.0,125.0,20.0,72.0,56.0,14.0,39.0,5.0,6.0,5.0,5.0,12.0,5.0,5.0,22.0
layer_23,123.0,102.0,56.0,154.0,64.0,113.0,69.0,50.0,63.0,101.0,7.0,9.0,18.0,5.0,24.0,6.0
