,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,422.0,584.0,292.0,315.0,575.0,373.0,580.0,338.0,267.0,320.0,327.0,312.0,246.0,267.0,315.0,226.0
layer_1,408.0,471.0,112.0,96.0,55.0,79.0,42.0,538.0,79.0,120.0,108.0,99.0,81.0,80.0,64.0,77.0
layer_2,366.0,604.0,113.0,115.0,187.0,40.0,272.0,236.0,77.0,66.0,54.0,103.0,150.0,53.0,52.0,57.0
layer_3,619.0,502.0,571.0,152.0,90.0,401.0,76.0,93.0,160.0,90.0,60.0,60.0,62.0,72.0,50.0,34.0
layer_4,430.0,734.0,499.0,501.0,403.0,572.0,1058.0,106.0,94.0,105.0,214.0,66.0,90.0,58.0,99.0,151.0
layer_5,395.0,565.0,832.0,273.0,139.0,338.0,173.0,73.0,309.0,83.0,70.0,72.0,69.0,68.0,67.0,66.0
layer_6,603.0,394.0,765.0,414.0,151.0,111.0,454.0,98.0,98.0,69.0,68.0,73.0,90.0,68.0,67.0,70.0
layer_7,423.0,847.0,572.0,813.0,264.0,277.0,469.0,266.0,249.0,133.0,101.0,95.0,70.0,67.0,67.0,78.0
layer_8,432.0,756.0,721.0,761.0,134.0,160.0,138.0,117.0,224.0,86.0,75.0,69.0,67.0,69.0,68.0,72.0
layer_9,570.0,696.0,411.0,267.0,305.0,111.0,316.0,73.0,96.0,85.0,67.0,69.0,112.0,82.0,67.0,69.0
layer_10,631.0,858.0,206.0,383.0,404.0,202.0,311.0,113.0,67.0,113.0,101.0,67.0,75.0,67.0,67.0,67.0
layer_11,478.0,502.0,406.0,365.0,104.0,432.0,72.0,117.0,69.0,68.0,78.0,67.0,67.0,67.0,70.0,67.0
layer_12,742.0,731.0,197.0,515.0,208.0,173.0,93.0,209.0,75.0,79.0,68.0,72.0,67.0,67.0,67.0,67.0
layer_13,486.0,492.0,275.0,554.0,110.0,124.0,89.0,107.0,133.0,79.0,138.0,67.0,68.0,67.0,67.0,67.0
layer_14,592.0,395.0,142.0,285.0,146.0,245.0,100.0,79.0,104.0,76.0,67.0,67.0,82.0,69.0,67.0,78.0
layer_15,676.0,517.0,207.0,166.0,106.0,72.0,372.0,87.0,86.0,71.0,88.0,71.0,70.0,67.0,67.0,68.0
layer_16,509.0,402.0,83.0,291.0,96.0,146.0,79.0,88.0,87.0,90.0,67.0,67.0,67.0,68.0,67.0,67.0
layer_17,475.0,608.0,354.0,225.0,155.0,124.0,301.0,304.0,80.0,73.0,68.0,67.0,67.0,64.0,67.0,67.0
layer_18,478.0,701.0,376.0,388.0,152.0,147.0,96.0,179.0,75.0,68.0,68.0,67.0,67.0,68.0,84.0,67.0
layer_19,725.0,546.0,940.0,269.0,105.0,151.0,389.0,76.0,74.0,74.0,67.0,68.0,69.0,67.0,67.0,66.0
layer_20,522.0,911.0,421.0,84.0,190.0,134.0,74.0,136.0,168.0,67.0,70.0,67.0,67.0,67.0,67.0,67.0
layer_21,700.0,346.0,228.0,417.0,73.0,232.0,357.0,70.0,188.0,72.0,69.0,67.0,67.0,67.0,377.0,93.0
layer_22,720.0,814.0,671.0,365.0,536.0,686.0,237.0,334.0,68.0,116.0,72.0,71.0,127.0,67.0,70.0,143.0
layer_23,828.0,1119.0,311.0,786.0,606.0,716.0,284.0,491.0,291.0,522.0,79.0,84.0,77.0,88.0,228.0,99.0
