,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,133.42406,4.7103477,133.01233,8.124613,51.04788,5.6487646,143.12566,126.4794,120.08376,134.23741,100.16415,116.50109
layer_1,120.8667,121.40534,121.86992,97.97626,121.57814,107.52869,107.90466,128.70111,106.40186,103.225494,132.15416,14.846712
layer_2,114.57989,97.28402,86.418365,103.09078,91.87258,116.72721,95.09663,105.92053,123.50378,143.37088,131.4666,98.06937
layer_3,66.48639,124.56327,78.268845,56.634872,85.73817,99.93063,94.92494,118.640366,109.823586,103.67128,87.64968,108.66858
layer_4,81.32215,116.371826,84.03147,104.06482,77.04134,92.85025,116.74956,65.26684,92.95362,95.08913,74.07687,73.50963
layer_5,78.1485,69.539635,92.46919,109.56946,100.87188,71.36222,61.074905,72.057594,78.59263,79.54403,78.3565,76.467514
layer_6,109.43645,72.19,80.4273,82.84456,114.01203,92.0922,77.0452,93.601456,67.99475,70.18786,77.476364,92.33508
layer_7,116.62694,72.34247,69.60556,79.22765,83.12383,81.93544,76.47994,73.489334,75.24252,78.3113,71.65387,74.32386
layer_8,78.27502,73.30688,78.60141,74.55,69.964165,95.4167,99.783554,84.7925,75.61191,71.79227,85.21874,101.52424
layer_9,73.04553,69.38101,73.795074,93.306046,73.10179,75.34423,71.747444,75.7044,106.31932,71.67116,76.168655,73.39764
layer_10,78.20594,77.504814,74.06795,72.6738,73.90217,94.14422,73.4662,77.95369,73.73308,105.3662,74.195335,73.82901
layer_11,103.21482,76.545815,78.356674,86.97816,86.63748,99.18822,80.89734,78.95881,144.58777,77.661674,78.433334,84.101105
