,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,86,94,63,60,47,42,39,26,27,7,0,16,12,14,13,14
layer_1,110,94,71,71,38,32,47,16,14,12,9,10,7,14,7,10
layer_2,112,93,91,59,48,74,4,31,18,8,17,9,16,11,10,9
layer_3,83,87,40,107,35,16,12,44,16,4,7,2,16,10,18,4
layer_4,123,69,45,70,44,41,39,16,15,9,16,9,10,13,9,6
layer_5,106,94,46,79,95,47,6,9,7,6,7,6,16,6,6,5
layer_6,78,54,80,47,62,11,14,15,6,6,6,6,6,6,7,8
layer_7,123,60,31,44,3,113,32,10,55,15,7,17,6,6,6,6
layer_8,123,37,73,61,37,10,9,7,6,6,7,6,6,6,6,6
layer_9,122,49,12,60,38,15,32,6,7,6,6,6,6,6,6,6
layer_10,88,82,49,25,24,10,16,15,6,6,6,6,6,6,6,6
layer_11,63,64,59,13,8,18,6,6,6,7,6,6,6,6,7,6
layer_12,41,82,47,21,51,16,7,6,6,6,6,6,6,6,6,6
layer_13,93,68,20,19,6,7,6,6,6,6,7,6,6,6,6,6
layer_14,40,41,16,8,5,12,7,6,8,6,6,6,6,6,6,6
layer_15,64,85,17,16,9,7,15,6,7,6,10,6,6,6,6,6
layer_16,101,44,7,16,6,18,6,7,6,6,6,6,6,6,6,6
layer_17,97,49,51,8,15,11,7,6,7,6,6,6,6,6,6,6
layer_18,94,76,26,26,8,6,6,6,6,6,6,6,6,6,9,6
layer_19,40,90,44,21,7,49,53,6,6,6,6,6,6,6,7,8
layer_20,78,77,70,7,8,23,7,13,6,6,6,6,6,6,6,6
layer_21,29,62,56,24,6,6,8,7,15,6,6,6,6,6,4,8
layer_22,93,54,52,18,18,29,14,23,6,8,6,6,9,6,6,9
layer_23,76,75,83,64,28,56,11,29,13,13,15,16,11,10,7,19
