,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,21,10,22,28,17,34,35,16,25,12,25,13,28,18,31,17
layer_1,42,7,20,14,36,12,4,5,9,8,13,37,29,24,10,11
layer_2,11,18,32,29,29,31,56,54,20,48,15,21,31,23,8,14
layer_3,7,12,7,13,7,31,7,7,7,7,7,7,7,7,7,7
layer_4,7,7,7,7,7,9,7,9,7,7,7,7,7,7,6,6
layer_5,39,7,40,7,7,8,10,7,11,7,7,7,7,7,7,7
layer_6,7,17,7,7,19,15,7,7,8,7,7,7,7,7,7,7
layer_7,9,27,7,7,7,7,7,7,7,7,7,15,7,8,7,7
layer_8,7,7,6,7,7,7,9,7,7,8,7,10,8,7,7,7
layer_9,7,7,18,7,7,31,7,8,7,9,7,7,7,16,7,7
layer_10,7,7,7,12,7,7,7,7,7,8,6,13,7,7,7,7
layer_11,7,7,7,7,12,10,7,7,8,8,7,32,7,7,7,8
layer_12,7,7,7,7,7,7,7,21,7,7,7,9,26,18,9,7
layer_13,7,7,7,7,7,7,7,8,7,7,7,7,7,7,15,7
layer_14,8,4,7,7,7,7,7,7,19,35,7,7,7,7,7,7
layer_15,7,7,8,6,7,7,7,7,7,7,7,7,7,35,7,7
layer_16,7,6,7,7,7,7,7,7,7,7,8,6,7,7,7,7
layer_17,7,7,8,7,7,7,9,7,7,7,7,7,7,7,7,7
layer_18,6,7,7,7,6,7,7,9,7,9,7,10,9,7,7,7
layer_19,13,7,7,7,15,7,7,7,7,7,7,7,7,7,7,7
layer_20,7,7,7,7,7,7,7,7,7,7,9,7,7,7,26,7
layer_21,7,7,7,7,7,7,7,7,7,6,7,7,18,7,7,7
layer_22,7,11,9,7,7,7,7,7,6,7,7,7,7,7,7,7
layer_23,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7
layer_24,7,7,19,7,7,7,7,7,7,7,7,7,15,7,7,7
layer_25,7,7,9,7,7,7,7,7,8,7,7,7,7,8,7,7
layer_26,7,7,7,8,7,7,7,7,7,8,15,7,7,7,7,10
layer_27,7,7,6,8,7,10,7,7,7,7,7,7,7,7,7,7
