,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,114.0,56.0,82.0,179.0,153.0,113.0,114.0,527.0,99.0,156.0,127.0,143.0
layer_1,280.0,645.0,172.0,65.0,121.0,111.0,73.0,119.0,68.0,65.0,186.0,403.0
layer_2,123.0,77.0,477.0,312.0,373.0,645.0,376.0,157.0,383.0,206.0,134.0,64.0
layer_3,64.0,118.0,400.0,158.0,64.0,65.0,176.0,244.0,448.0,77.0,64.0,148.0
layer_4,71.0,206.0,64.0,178.0,64.0,71.0,107.0,170.0,63.0,69.0,64.0,488.0
layer_5,84.0,65.0,145.0,76.0,94.0,70.0,102.0,64.0,85.0,64.0,86.0,64.0
layer_6,152.0,73.0,64.0,70.0,74.0,66.0,64.0,117.0,206.0,68.0,65.0,68.0
layer_7,274.0,64.0,64.0,65.0,68.0,68.0,64.0,69.0,99.0,64.0,65.0,69.0
layer_8,64.0,66.0,65.0,69.0,64.0,64.0,107.0,113.0,66.0,64.0,64.0,64.0
layer_9,64.0,64.0,64.0,107.0,64.0,64.0,64.0,65.0,127.0,64.0,68.0,64.0
layer_10,65.0,65.0,64.0,74.0,70.0,78.0,64.0,66.0,66.0,105.0,66.0,72.0
layer_11,101.0,64.0,64.0,68.0,64.0,87.0,65.0,68.0,210.0,67.0,70.0,77.0
