,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,419.02798,298.84586,340.22083,239.8835,371.31006,213.39452,409.09637,369.23224,193.37798,298.93912,258.75552,147.67303,225.0181,454.16702,361.94922,263.00647
layer_1,628.8024,255.24214,262.66022,189.39592,486.43256,222.55533,158.82515,306.58566,370.97577,172.45723,302.05682,461.87402,387.0052,283.5268,211.728,380.66925
layer_2,237.19617,286.73325,168.82153,494.35962,179.67104,322.55222,181.22037,538.17334,219.82895,257.4556,171.67998,458.7107,682.6076,486.1333,174.52554,287.8312
layer_3,114.07463,225.83992,119.98429,141.63867,222.09569,520.6229,112.368286,129.63911,120.34282,105.06229,119.72189,155.08406,114.66791,130.30115,133.29611,206.72119
layer_4,107.70802,113.44883,112.7241,122.75142,145.38884,282.08755,107.43669,793.622,129.84297,108.71936,115.15834,156.99814,107.376564,127.09068,271.2812,170.06525
layer_5,472.80615,137.0592,168.69678,127.21661,127.54291,538.0932,187.06543,117.89794,189.91122,123.47606,123.58603,138.02306,137.70367,111.90424,120.84468,261.73715
layer_6,150.18266,465.92422,106.58395,116.62896,138.84918,153.65416,112.983604,107.448044,120.93154,129.74712,114.32042,138.22215,116.79755,136.60957,114.52947,125.695244
layer_7,172.74544,361.711,120.347984,120.69624,123.08727,182.87473,108.15142,110.00808,126.21356,111.100876,128.09348,604.7565,126.063156,150.41171,133.45432,135.24445
layer_8,116.51234,108.81675,94.448326,151.25996,136.10384,140.42172,255.70576,108.25465,165.05862,178.71964,118.78594,162.45093,253.99576,118.1739,205.13972,116.41771
layer_9,135.13043,150.68759,112.14289,123.1328,124.92496,191.7311,150.53955,157.02345,132.46004,360.01086,122.405624,118.287834,133.65099,203.94995,156.73752,119.18972
layer_10,142.38808,153.10161,150.95222,144.66919,320.5255,135.32433,118.996796,108.36578,120.60832,142.60258,169.01198,420.41736,183.66565,105.329796,159.65846,194.90874
layer_11,111.95676,174.59723,145.34889,173.85571,195.31534,335.83908,83.54937,162.15945,167.74988,129.95418,69.14732,639.6162,182.84343,148.33159,319.52686,120.91972
layer_12,120.38422,125.42662,134.00731,117.54075,112.42084,139.10466,121.01554,197.45682,126.72968,121.15118,113.8894,123.25709,352.1148,135.0204,254.36499,110.80601
layer_13,279.88315,114.86826,116.95028,112.81344,132.7283,83.01598,124.20707,120.31782,120.5605,115.055016,207.1608,108.194405,265.29907,111.06819,202.54718,133.1581
layer_14,143.13336,81.18237,118.02763,116.82672,123.62451,147.34059,118.180275,119.66755,190.9972,533.39825,128.1625,118.73176,198.17038,135.32655,129.4273,123.66429
layer_15,131.76616,236.42293,143.5597,94.18697,122.69791,122.83799,134.71404,115.15278,182.95427,141.15596,118.0742,206.49374,124.04214,613.26166,218.67104,123.80712
layer_16,110.849915,109.545494,130.52397,195.02869,116.38427,140.06042,128.49039,108.2371,118.60756,140.21747,202.65828,121.159805,113.89041,113.96122,120.603485,114.33794
layer_17,124.36202,117.26263,229.12299,110.27397,122.0124,112.52303,126.09349,109.81116,137.99702,116.84163,113.339195,188.42415,122.88546,135.07393,111.90446,115.91848
layer_18,129.21327,139.2744,114.133385,115.03616,129.54292,109.869064,126.569756,121.1859,110.62604,294.78552,120.43954,207.2188,120.003006,111.87663,114.266235,113.72711
layer_19,107.69116,110.908226,160.01555,113.986595,182.71255,116.696846,110.19527,111.40055,110.72636,108.602455,113.21112,141.65303,170.60234,113.803535,144.16743,116.85049
layer_20,127.856026,109.05833,156.56825,210.08066,107.40222,126.548645,121.5919,111.08482,110.823814,130.18636,104.15552,169.92827,108.71781,116.28763,473.76334,112.003914
layer_21,120.18536,107.092125,121.17097,100.78604,108.68631,181.9521,109.60896,110.8553,113.12239,111.96267,133.93947,106.983635,264.52628,109.51423,121.23513,108.29715
layer_22,108.37375,114.76155,103.50426,111.98977,131.40273,110.21761,112.1848,115.107864,149.02133,110.34304,110.84227,109.91802,116.05535,108.20544,121.4096,110.38957
layer_23,120.969734,114.45109,113.08603,107.79384,108.360886,159.32205,109.89397,119.88635,112.891914,110.06322,127.51261,110.13179,111.74821,109.90158,113.26941,110.95571
layer_24,106.4908,105.6889,141.89357,108.971085,110.24467,109.69792,120.876366,157.63715,147.65253,106.019905,115.91653,110.44548,173.3458,185.61443,116.148094,114.50281
layer_25,117.29441,131.99608,109.042496,136.41344,158.44951,118.65229,232.56097,121.49394,127.84084,113.59893,107.388596,110.95072,111.935684,142.24245,116.93765,109.50274
layer_26,118.43679,106.84394,122.17429,119.95236,115.21671,120.7164,117.43693,118.13395,114.80463,157.98535,162.0893,111.39246,140.77463,126.50547,110.15494,175.4723
layer_27,106.94733,106.95664,134.43425,311.29846,199.24498,195.65776,113.66684,112.35326,111.476654,119.628815,109.74507,122.66022,108.97134,119.41931,124.554085,117.533615
