,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.45977512,0.5996704,0.53613305,0.12278835,0.15922743,0.8404936,0.4088403,0.07518386,0.3714284,0.35816976,0.39790827,0.81466365
layer_1,0.1191321,0.100288756,0.14072947,0.90748644,0.90480894,0.70985436,0.7860261,0.52738667,0.9082682,0.9072417,0.2719187,0.64457995
layer_2,0.43540514,0.90676135,0.0477139,0.0712183,1.0,0.06689994,0.83822215,0.89028203,0.28393137,0.07896987,0.14236581,0.90866774
layer_3,0.8991236,0.94281775,0.11717463,0.98127574,0.90865403,0.907945,0.48753655,0.17997266,0.5972378,0.927198,0.90866774,0.9758066
layer_4,0.94153404,0.96724564,0.90790874,0.9647375,0.90885913,0.93708885,0.9485754,0.8738946,0.9280373,0.910017,0.90870255,0.021236978
layer_5,0.9077313,0.90683275,0.9546712,0.91421545,0.9377958,0.9066224,0.9699729,0.9097939,0.9137029,0.90866774,0.9121806,0.90866774
layer_6,0.96269345,0.9104948,0.90866774,0.9092464,0.9266166,0.90894026,0.90873367,0.9206157,0.977463,0.9054548,0.90849096,0.91552025
layer_7,0.96299213,0.907218,0.90795237,0.9088079,0.9104393,0.90903974,0.9086232,0.9102806,0.9230593,0.90918857,0.9046324,0.90858513
layer_8,0.90875566,0.9096132,0.90584236,0.90907097,0.90882367,0.90991193,0.928894,0.9403287,0.90969783,0.90866774,0.90869135,0.91402286
layer_9,0.90887094,0.90878284,0.91040295,0.93968534,0.90845656,0.90866774,0.9079176,0.9086798,0.84914714,0.90861523,0.90915143,0.9090031
layer_10,0.90921295,0.9090143,0.90846604,0.90935785,0.91681,0.9153919,0.9079363,0.9096169,0.90843445,0.96755564,0.9095464,0.9098769
layer_11,0.9143409,0.9070309,0.90873677,0.9197267,0.9050728,0.8960685,0.9086049,0.90788275,0.5095093,0.9077972,0.90820605,0.9071893
