,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,89,77,55,58,61,23,21,40,25,32,33,20,63,30,41,49
layer_1,77,91,46,17,35,10,7,18,9,6,5,5,7,18,8,11
layer_2,104,84,42,31,65,4,8,4,12,7,4,11,6,5,9,8
layer_3,123,107,90,84,6,15,17,3,24,3,8,20,18,3,7,6
layer_4,93,45,48,92,66,67,104,2,1,3,5,11,5,7,34,52
layer_5,93,55,79,27,16,5,4,3,6,3,3,3,3,3,3,3
layer_6,44,86,126,36,10,4,21,4,4,3,3,3,3,3,3,3
layer_7,91,81,85,39,22,60,13,3,25,4,3,3,3,3,3,3
layer_8,92,50,61,96,11,21,3,3,5,4,3,3,3,3,3,3
layer_9,105,62,10,37,25,10,9,4,3,3,3,3,3,3,3,3
layer_10,48,107,6,15,7,11,8,3,3,3,3,3,3,3,3,3
layer_11,98,33,39,15,3,15,3,4,3,3,3,3,3,3,3,3
layer_12,57,69,14,20,8,15,3,4,3,4,3,3,3,3,3,3
layer_13,59,53,10,16,4,10,3,9,3,3,3,3,3,3,3,3
layer_14,25,49,4,25,5,5,3,3,7,5,3,3,3,3,3,3
layer_15,109,76,24,27,4,3,18,4,3,3,3,3,3,3,3,3
layer_16,93,40,3,8,8,11,3,3,3,3,3,3,3,3,3,3
layer_17,93,38,41,29,5,3,8,10,3,3,3,3,3,3,3,3
layer_18,71,57,18,25,13,7,8,6,3,3,3,3,3,3,4,3
layer_19,60,40,102,9,3,11,26,5,3,3,3,3,3,3,3,3
layer_20,90,77,43,4,15,9,4,4,3,3,4,3,3,3,3,3
layer_21,92,89,22,9,3,5,10,3,3,4,3,3,3,3,31,5
layer_22,108,36,54,14,62,50,15,38,3,3,3,3,23,3,6,4
layer_23,88,91,61,61,14,58,17,41,9,30,18,35,8,7,13,23
