,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,1.2649786,0.18457872,0.16090195,0.12569328,0.22535647,0.2239643,0.15947783,0.22558707,0.7660105,0.7634482,0.5731271,1.7462329,0.15834627,0.18031934,0.1512274,1.124277,0.117900744,0.5523391,0.05467229,0.11029024,0.6193426,0.5451333,0.19211592,0.86846495,0.34076723,0.9573755,0.38339195,0.53523815,0.045920607,0.0007464583,0.019472286,6.0132295e-09
layer_1,0.38748845,0.18549886,0.11337704,0.8287422,0.122633524,0.051722582,0.032870565,0.0620245,0.450288,0.10405658,0.7544101,0.31285435,1.1992444,0.0141887115,0.16945688,0.022935987,0.040038347,0.20061451,0.006339338,0.33579883,0.019423394,0.2740147,0.23142606,0.13860525,0.060331725,0.022119163,0.027834384,0.025107404,0.78573525,0.38728392,0.20687751,0.10350394
layer_2,0.14409111,0.047772862,0.0685469,0.038428128,0.6565674,0.47794098,0.23082738,0.25949013,0.049178682,0.052937977,0.17205694,0.036734812,0.041017197,0.18165739,0.23737276,0.08056573,0.30815846,0.028010225,0.06721004,0.349101,0.035057094,0.0014481844,0.033894442,0.007628535,0.12757342,0.012932663,0.09674926,0.08398051,0.34190497,0.19430046,0.53134286,0.26124352
layer_3,0.50555277,0.13253616,0.4367786,0.1552923,0.025879709,0.045536228,0.058619373,0.05870903,0.47688955,0.20298661,0.20741874,0.12388356,0.19816461,0.27371705,0.0827768,0.24113785,0.097247586,0.04605399,0.020518776,0.03485116,0.56135803,0.36704654,0.45435953,0.11746567,0.3939649,0.22124283,0.13274366,0.11866343,1.0415874,0.6457023,0.64399123,0.7695871
layer_4,0.2460157,0.3008623,0.21165513,0.06700593,0.46501905,0.1908644,0.68887746,0.49044734,0.40687716,0.47931617,0.4520576,0.081943095,0.026556762,0.35437426,0.06438855,0.69839084,0.053436406,0.40846533,0.3690627,0.18973972,0.16980748,0.11897692,0.51492625,0.39032415,0.31759128,0.76074773,0.18785325,1.13842,0.13789935,0.08868197,0.05631279,0.2236931
layer_5,0.46951485,0.46773106,1.1261399,0.57319844,0.91078407,0.2322806,0.5277417,0.38063008,0.009373362,0.021280501,0.0029297562,0.17516142,0.623072,0.22213037,0.1792512,0.9314308,0.7885236,0.67090714,0.556167,0.24827653,0.1547553,0.4303122,0.33274913,0.26338184,0.37109536,0.77394676,0.37188914,0.42932177,1.3297613,1.0980644,1.1292721,0.6055495
layer_6,0.6186531,1.0036054,0.09319423,0.14936057,0.85752225,0.3068981,0.5281701,0.8408572,0.34549832,0.53463525,0.5374812,0.5220967,0.654593,0.90293264,0.99194,0.86719304,0.40902084,0.3668834,0.2972412,0.8579729,0.84880674,0.50141466,0.6474455,0.44209492,0.39725882,1.0529813,0.5095064,0.414767,0.39462817,0.28164405,1.1631091,0.07303759
layer_7,0.33335367,0.5463992,0.88661253,0.18269034,0.90756536,0.028965766,0.7348738,0.71555895,1.0894114,0.89155126,1.4111238,1.0753336,1.5974951,0.86493754,0.61772984,0.83703446,0.69522464,1.01404,1.2344646,1.3084121,0.62322277,0.7694259,0.48811808,0.6957932,0.757792,0.08828257,0.79078716,1.0624067,0.901242,0.6015113,0.6642145,0.91326344
layer_8,0.41475052,0.017424876,0.6375995,0.5057166,0.7177807,0.80088323,0.34823853,0.79586303,0.2460145,0.28612363,0.3945242,0.13267331,1.0056707,0.66418725,0.5755894,1.3174611,0.7256876,0.6618969,0.77778184,0.94432086,1.011439,1.18087,0.75776845,0.40947407,0.63222384,0.5366877,0.41126052,0.40114373,0.5397771,0.6726174,0.6780891,1.281786
layer_9,0.6747898,0.61051375,0.7102426,0.7454237,0.47656804,0.306728,0.49742332,0.13758211,2.0054488,1.5205655,0.43568566,0.16819663,0.36942106,0.48097453,0.41227356,0.7106705,0.67972547,0.81430584,0.36657223,0.7723204,0.41379544,0.5637474,0.74103177,0.66222066,0.7803101,0.3197223,0.6489262,0.130591,0.5914724,1.1296922,0.7561212,0.587144
