,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,0.77901673,0.8435767,0.14202094,0.9801701,0.8522931,0.8824741,0.49139562,0.36513567,0.5928702,0.5439124,0.62424964,0.7159686,0.9099016,0.5511285,0.057561133,0.8777402
layer_1,0.92196894,0.8756644,0.88603914,0.87780225,0.0017706698,0.8860959,0.90085155,0.9574788,0.87665015,0.9229052,0.87901753,0.8693065,0.9595085,0.88510895,0.92049205,0.99662685
layer_2,0.94246066,0.90961003,0.9172987,0.755526,0.9526483,0.93714577,0.96665984,0.19241244,0.5938316,0.95061135,0.6210736,0.91154164,0.9081117,0.9642327,0.96236914,0.8929988
layer_3,0.9629132,0.9112323,0.88018936,0.66222316,0.8925967,0.9167853,0.8890125,0.8728467,0.051119056,0.91707635,0.7589292,0.96987826,0.53783274,0.95402056,0.9167151,0.96256536
layer_4,0.9197987,0.0042535756,0.9709359,0.6516482,0.889232,0.8580367,0.8791058,0.88584584,0.9287813,0.9877914,0.8698696,0.9195021,0.1609029,0.9092913,0.93207026,0.95613444
layer_5,0.87188864,0.87259144,0.76327866,0.9173558,0.9316296,0.88608915,0.9044932,0.8678265,0.72572297,0.9223777,0.87249327,0.90586376,0.97330385,0.38042,0.9484332,0.87621665
layer_6,0.90757495,0.8686465,0.9153378,0.86841255,0.82575333,0.86532474,0.90907377,0.877722,0.8738073,0.93191063,0.87520695,0.8445592,0.9123911,0.3172567,0.9501686,0.9328643
layer_7,0.87078923,0.86903816,0.90872306,0.88699555,0.9310765,0.9145145,0.9606511,0.88055396,0.9163177,0.9390564,0.86843956,0.8720582,0.0064018867,0.89815956,0.89391696,0.9221033
layer_8,0.7661165,0.7107658,0.9124323,0.9118364,0.8816397,0.8962984,0.054751497,0.89966,0.8775214,0.92469114,0.8905992,0.9341917,0.9037107,0.93592536,0.8724241,0.87318164
layer_9,0.89304054,0.9170613,0.8602129,0.8718551,0.87816536,0.005199151,0.8890476,0.8828652,0.8571009,0.8919654,0.9199836,0.9203138,0.8717425,0.7959904,0.91048324,0.8725635
layer_10,0.3417951,0.92396736,0.8669171,0.8873298,0.11504818,0.54934996,0.8817217,0.875116,0.92232,0.95338047,0.96189016,0.89152765,0.89882994,0.0016973721,0.72108614,0.9035211
layer_11,0.9162144,0.87639165,0.8723483,0.8886621,0.89059067,0.0007786312,0.92949414,0.89798605,0.8772269,0.87528133,0.8746208,0.87086624,0.015380396,0.84661394,0.86772037,0.8712435
layer_12,0.89408135,0.942004,0.89161825,0.8528947,0.894431,0.85004884,0.88207656,0.401135,0.8718036,0.88057923,0.8671418,0.8733085,0.8345666,0.92016816,0.8730148,0.86862624
layer_13,0.8995978,0.8954726,0.8747265,0.95485824,0.8719847,0.87515235,0.065894276,0.8720809,0.8857976,0.3045968,0.88742965,0.88251823,0.87524164,0.8894025,0.652195,0.87602514
layer_14,0.89578754,0.8742859,0.9138684,0.00085303024,0.8235237,0.93271,0.8845342,0.7477524,0.876315,0.8862526,0.85650706,0.7930682,0.89369094,0.8740586,0.87340885,0.85545325
layer_15,0.8715092,0.72274375,0.8739106,0.87117785,0.8671219,0.85006565,0.54325795,0.84798217,0.86778665,0.7546458,0.87139165,0.8729768,0.89941657,0.858842,0.6568355,0.0
layer_16,0.7847509,0.051037546,0.91880053,0.87122047,0.951263,0.89105207,0.8756448,0.8708582,0.8788707,0.8270727,0.86834496,0.884417,0.87564784,0.872038,0.8442257,0.8605167
layer_17,0.87275034,0.8808116,0.85863775,0.89857936,0.872092,0.8739081,0.74892676,0.572584,0.87172407,0.87066185,0.8970305,0.89611864,0.885484,0.0036374163,0.90777594,0.87321955
layer_18,0.8822897,0.8818271,0.8691726,0.8683827,0.8710884,0.862206,0.8381638,0.8534948,0.8740644,0.8105059,0.87670237,0.8652407,0.75027865,0.00037672743,0.9030836,0.86723244
layer_19,0.9006457,0.8772008,0.88833237,0.57815766,0.9248341,0.9104511,0.87235695,0.87679785,0.87373084,0.8929815,0.87207234,0.87148714,0.0,0.88783413,0.8965573,0.8881806
layer_20,0.19262834,0.61322135,0.7909026,0.861705,0.91874063,0.8877572,0.8906157,0.8773816,0.8779959,0.8761672,0.9026629,0.89241135,0.8854059,0.89155823,0.8692255,0.8462609
layer_21,0.87571585,0.0,0.8931628,0.895097,0.8833919,0.8948623,0.8896906,0.8578684,0.9177184,0.88572454,0.87026215,0.70559835,0.89207095,0.8997893,0.8975928,0.8591562
layer_22,0.573717,0.7708808,0.9007168,0.578303,0.87113684,0.8326982,0.85588294,0.93079174,0.0,0.44367594,0.9038137,0.9202472,0.902225,0.8445492,0.45276356,0.78792775
