,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,558.0,109.0,1248.0,78.0,1.0,2.0,4.0,3.0,0.0,1.0,40.0,57.0,1.0,0.0,1.0,0.0,147.0,37.0,4.0,0.0,593.0,169.0,0.0,299.0,10.0,204.0,3.0,3.0,9.0,0.0,0.0,0.0
layer_1,3.0,73.0,0.0,30.0,3.0,8.0,1.0,1.0,50.0,0.0,0.0,116.0,35.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,12.0,0.0,2.0,0.0,24.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0
layer_2,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,246.0,6.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,7.0,5.0,51.0,28.0,23.0,50.0,9.0,0.0,36.0,231.0
layer_3,0.0,0.0,178.0,70.0,0.0,23.0,0.0,16.0,25.0,0.0,302.0,8.0,5.0,19.0,2.0,123.0,49.0,67.0,3.0,0.0,0.0,1.0,8.0,0.0,57.0,1.0,19.0,0.0,425.0,27.0,179.0,417.0
layer_4,0.0,6.0,8.0,0.0,267.0,0.0,20.0,177.0,25.0,11.0,0.0,0.0,72.0,130.0,102.0,38.0,1.0,277.0,27.0,0.0,0.0,0.0,0.0,146.0,336.0,119.0,0.0,96.0,1.0,1.0,1.0,109.0
layer_5,0.0,1.0,180.0,42.0,11.0,1.0,0.0,0.0,11.0,0.0,5.0,0.0,72.0,93.0,101.0,164.0,219.0,131.0,103.0,0.0,202.0,0.0,1.0,4.0,6.0,156.0,0.0,17.0,4.0,155.0,81.0,103.0
layer_6,379.0,74.0,44.0,695.0,7.0,6.0,71.0,15.0,2.0,0.0,0.0,0.0,3.0,0.0,13.0,127.0,2.0,116.0,19.0,138.0,60.0,58.0,276.0,8.0,188.0,50.0,1.0,0.0,65.0,380.0,17.0,250.0
layer_7,141.0,68.0,61.0,0.0,428.0,5.0,3.0,0.0,64.0,0.0,1.0,0.0,0.0,2.0,71.0,62.0,348.0,414.0,5.0,5.0,0.0,107.0,0.0,1.0,4.0,17.0,18.0,13.0,0.0,0.0,2.0,261.0
layer_8,11.0,13.0,63.0,12.0,10.0,23.0,38.0,74.0,74.0,195.0,17.0,442.0,189.0,241.0,20.0,41.0,0.0,0.0,0.0,1.0,1.0,0.0,108.0,99.0,3.0,555.0,533.0,3.0,0.0,453.0,0.0,4.0
layer_9,23.0,0.0,8.0,47.0,246.0,269.0,18.0,165.0,5.0,0.0,1.0,74.0,0.0,609.0,505.0,139.0,3.0,0.0,22.0,25.0,94.0,1.0,0.0,105.0,4.0,0.0,213.0,0.0,71.0,76.0,215.0,40.0
layer_10,0.0,0.0,0.0,1.0,2.0,45.0,0.0,56.0,124.0,53.0,29.0,2.0,13.0,2.0,0.0,6.0,77.0,0.0,202.0,4.0,0.0,17.0,0.0,0.0,2.0,17.0,3.0,0.0,46.0,56.0,3.0,11.0
layer_11,17.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,87.0,0.0,45.0,0.0,0.0,0.0,1.0,34.0,95.0,0.0,21.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,3.0,54.0,7.0,55.0,25.0
layer_12,1.0,0.0,0.0,89.0,0.0,0.0,0.0,477.0,26.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,34.0,0.0,109.0,4.0,97.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0
layer_13,0.0,0.0,0.0,0.0,409.0,1.0,0.0,0.0,7.0,64.0,0.0,51.0,0.0,0.0,4.0,20.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,12.0,7.0,7.0,0.0,52.0,3.0
layer_14,0.0,0.0,0.0,0.0,1.0,81.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,328.0,66.0,0.0,0.0,0.0,35.0,12.0,23.0,1.0,20.0,0.0,0.0,0.0,0.0
layer_15,50.0,16.0,0.0,5.0,0.0,0.0,10.0,0.0,37.0,1.0,0.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0
