,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0,29,35,47,61,37,2,18,37,2,3,58
layer_1,73,27,0,67,0,44,0,134,10,22,24,38
layer_2,12,255,9,4,1,10,7,0,32,21,21,11
layer_3,21,16,11,58,35,71,13,19,3,1,1,57
layer_4,12,0,27,19,144,4,7,10,7,20,4,20
layer_5,7,1,82,5,14,24,5,43,67,9,30,5
layer_6,0,6,4,95,10,1,33,19,5,20,18,22
layer_7,23,19,2,10,18,32,11,17,23,37,50,36
layer_8,36,16,8,10,45,60,68,35,10,17,42,17
layer_9,17,13,74,43,31,16,33,12,14,16,42,26
layer_10,15,53,22,55,33,54,31,21,40,17,33,10
layer_11,56,40,6,54,56,38,39,58,13,21,33,18
