,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,256,204,157,172,181,185,244,89,110,183,29,171,127,129,6,111
layer_1,168,251,127,168,88,66,85,87,94,53,74,44,87,108,113,47
layer_2,170,262,140,116,103,108,45,154,46,17,43,76,101,48,29,36
layer_3,293,144,196,177,86,156,22,80,81,20,20,25,50,57,54,18
layer_4,220,313,137,283,129,269,286,63,60,33,67,42,46,50,74,25
layer_5,192,205,387,192,135,52,47,38,41,43,42,38,134,47,38,38
layer_6,227,212,428,124,41,41,78,43,39,39,38,39,37,38,41,56
layer_7,208,271,55,230,11,248,322,64,88,41,50,61,38,38,38,38
layer_8,219,19,272,347,48,48,39,43,62,39,42,39,38,38,38,38
layer_9,261,466,22,145,151,52,180,39,37,39,38,38,40,38,38,38
layer_10,184,240,73,484,158,89,77,54,38,39,38,40,38,38,38,38
layer_11,213,136,177,266,43,76,38,37,38,38,38,38,38,38,38,38
layer_12,266,222,97,276,131,63,40,91,38,37,38,38,38,38,38,38
layer_13,226,252,117,225,42,41,41,45,42,40,39,38,38,38,51,38
layer_14,183,444,97,78,42,114,40,38,65,40,38,38,38,38,38,41
layer_15,282,272,235,99,53,38,169,39,39,38,95,38,38,40,38,39
layer_16,285,143,39,230,50,158,39,39,38,38,38,38,38,38,38,38
layer_17,269,272,234,79,131,68,74,66,38,38,38,38,38,38,38,38
layer_18,165,353,189,69,77,57,68,48,40,38,38,38,38,38,38,38
layer_19,226,200,398,212,55,107,217,39,38,38,38,38,51,38,38,38
layer_20,151,226,136,63,96,73,41,48,98,38,41,38,38,38,38,38
layer_21,73,188,220,196,40,93,113,38,71,38,38,38,38,38,69,68
layer_22,180,258,219,41,296,266,159,78,36,39,38,38,41,38,38,45
layer_23,253,326,255,393,144,219,118,142,41,86,60,73,54,44,31,42
