,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,47.0,60.0,128.0,353.0,39.0,147.0,53.0,61.0,44.0,35.0,5.0,176.0
layer_1,8.0,0.0,5.0,8.0,207.0,1.0,0.0,10.0,4.0,0.0,149.0,26.0
layer_2,0.0,199.0,6.0,0.0,22.0,1.0,20.0,26.0,4.0,0.0,41.0,26.0
layer_3,1.0,34.0,6.0,6.0,26.0,242.0,2.0,0.0,206.0,5.0,45.0,400.0
layer_4,71.0,4.0,0.0,0.0,6.0,13.0,250.0,91.0,0.0,7.0,33.0,0.0
layer_5,2.0,12.0,1.0,31.0,2.0,0.0,59.0,10.0,4.0,0.0,251.0,1.0
layer_6,0.0,1.0,32.0,65.0,15.0,142.0,2.0,0.0,0.0,548.0,78.0,101.0
layer_7,72.0,4.0,0.0,6.0,246.0,31.0,4.0,22.0,0.0,370.0,17.0,1.0
layer_8,4.0,0.0,0.0,4.0,1.0,1.0,3.0,2.0,13.0,3.0,9.0,196.0
layer_9,4.0,1.0,13.0,91.0,3.0,11.0,0.0,39.0,26.0,0.0,5.0,0.0
layer_10,16.0,0.0,14.0,0.0,5.0,0.0,2.0,0.0,14.0,0.0,33.0,11.0
layer_11,0.0,4.0,4.0,0.0,6.0,6.0,0.0,0.0,62.0,9.0,0.0,0.0
