,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,0.12305187,0.120267875,0.14811346,0.26581964,0.011541815,0.010348856,0.009611893,0.01960018,0.30759388,0.061362352,3.7649236,0.044851642,0.043745134,0.028141614,0.026951754,0.009723848,4.496124,1.3473411,4.419519,3.412849,0.13748723,0.0062256977,0.23403221,0.013324109,0.5015745,0.73783976,4.5785403,1.8238835,0.23714687,1.250332,4.9807897,10.245099
layer_1,1.6775359,0.24510336,2.039693,0.15603554,0.53391385,0.0693241,0.23513219,1.8949747,1.7766604,0.10806467,0.38768405,0.12763634,0.46097684,6.60095,3.9172404,1.9654393,0.49198383,0.09314634,0.12586151,0.27336314,2.211761,1.9178859,0.2853089,1.7398545,0.16718875,0.20442756,2.2901046,2.2613757,0.7388882,0.40866423,3.1780963,0.3190179
layer_2,0.15914568,0.41573384,0.4413762,0.024494449,1.115632,0.5925376,0.30227184,0.7426165,0.4784975,1.4673903,0.38324973,2.3254395,0.12725681,0.66972023,0.061563652,0.12061841,0.22954449,0.25087288,0.38509506,0.4242565,0.012487553,0.018314725,0.14669994,0.0059525333,0.96627116,0.5661859,0.8667197,1.4259073,0.2975036,1.5311682,0.85476977,0.81798035
layer_3,0.6120072,0.35518914,0.29355085,0.32443455,0.26495853,0.406711,0.39688268,0.3303412,1.0995553,0.16092499,0.24741581,0.90673196,0.3553382,1.4651825,1.6499996,1.2827562,0.44700494,0.14263634,1.2165939,0.9251168,0.7045157,0.38356996,2.6332777,0.2118571,3.9012547,0.62943405,1.164479,1.4002564,0.99966455,0.54903364,1.2378889,0.6409717
layer_4,0.2491564,0.67079055,0.26740453,0.74179286,0.50381875,0.2584993,0.32987776,1.0622638,0.3051468,0.17498536,0.96883917,0.1524253,0.06831269,0.11948938,0.73924273,0.042078707,1.3092468,0.6357593,1.4625897,0.78942984,1.6477357,0.5084628,0.40457213,0.11343548,0.6770778,0.69958353,0.25233102,0.1125482,1.3496087,0.33572075,1.9019593,0.41856158
layer_5,1.7346191,2.2429583,1.5683199,0.7249031,0.6613148,0.05686602,0.21463321,0.57916576,1.0103143,0.7864359,0.038418077,0.16571294,0.76963186,0.5946526,0.5630691,1.063663,1.1844283,0.96261394,1.3180945,0.31387126,1.653772,1.0473608,0.83287984,0.54176414,0.33577865,0.4306614,0.45711952,0.30236036,1.0378985,1.0841537,0.2344055,0.46239975
layer_6,0.33038667,0.22115467,0.033738375,0.16548015,0.40607277,1.3016311,2.5289996,3.3098538,0.40964982,0.26876962,1.5320883,0.73429364,1.2598702,2.9740555,0.47083512,1.896911,0.29251957,0.2923914,0.22482689,1.3404821,0.57675666,2.084584,0.7078116,0.5386612,1.840065,0.31513238,0.114922374,0.09863087,1.8423827,2.1128142,1.0969355,2.4365728
layer_7,3.1621034,0.23812567,0.5976156,1.0336865,0.97162265,1.2349522,0.6660123,0.5285494,1.4297787,1.0503528,0.7548587,0.9276737,0.82322365,0.75999445,0.98473454,1.0525453,0.0022960885,0.039222755,0.004391363,0.09542916,1.8800524,0.36584887,0.39468575,0.89601016,0.8624825,1.7839936,0.38574538,0.39398998,0.50181925,0.5005489,2.6741726,0.7748926
layer_8,0.5710876,0.45571527,0.98571676,1.6248424,1.7233472,0.9427186,1.156061,0.95848715,0.7079589,4.131423,0.6822429,0.31040466,1.280373,0.5820373,0.85715187,1.8071709,0.32692167,1.7433168,0.67699635,1.0024239,2.4320796,0.90596455,1.0168937,0.61427724,0.8686889,2.2059262,0.5624444,1.0113589,0.8615119,1.2663479,2.052758,3.8103037
layer_9,1.4036293,0.32009903,0.11540147,0.19521402,0.93333775,1.1150587,0.9291267,0.86630833,0.34170914,0.21748963,0.53034914,1.6831641,0.3825997,0.8751965,0.77353233,0.91249764,0.75144166,0.6131974,1.3279914,0.6167544,0.17628142,1.006913,1.1306323,1.0782132,2.9160051,0.22220162,0.06541016,0.17956813,0.29709658,1.6511251,4.1835685,1.2065612
