,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,134,145,426,13,1,0,0,76,0,0,15,12,1,1,1,1,243,4,0,0,6,18,0,260,41,11,8,0,1,0,0,0
layer_1,1,0,0,32,2,3,0,0,24,0,0,33,0,0,0,0,74,0,22,6,8,0,0,0,7,0,6,0,0,0,15,0
layer_2,0,0,10,0,0,0,0,0,3,3,0,4,231,0,0,0,10,0,0,0,0,0,14,24,19,6,3,15,0,1,1,1
layer_3,0,3,49,85,0,2,0,6,0,0,1,8,0,0,0,27,19,5,16,0,0,4,0,0,34,0,5,0,173,15,100,32
layer_4,0,1,4,0,81,0,0,98,1,1,0,0,65,33,101,9,0,1,16,0,0,0,0,13,77,31,0,5,0,0,0,59
layer_5,0,1,20,4,1,0,0,0,1,0,0,0,4,42,28,67,12,30,2,0,6,0,0,0,0,11,0,7,0,13,15,54
layer_6,138,0,18,1,4,3,30,8,0,0,0,0,0,0,8,55,0,30,0,41,5,0,33,2,42,26,0,0,3,39,6,75
layer_7,3,26,0,0,162,0,0,0,19,0,1,0,0,0,13,3,15,4,0,0,0,48,0,1,0,2,2,0,0,0,0,18
layer_8,3,12,22,5,11,9,3,16,15,84,1,15,21,95,9,16,0,0,0,1,1,0,40,38,5,6,318,1,0,142,0,10
layer_9,44,0,16,26,58,52,8,7,2,0,0,13,0,68,159,76,8,0,31,6,37,2,0,27,1,7,96,0,257,24,7,33
layer_10,0,3,0,17,1,13,0,1,36,26,16,4,25,9,1,9,21,0,3,0,0,29,0,0,2,12,2,2,2,4,11,21
layer_11,0,0,0,7,4,2,1,2,18,15,0,56,0,0,8,0,2,30,1,14,3,5,6,14,1,10,3,7,5,0,9,5
layer_12,0,0,7,79,0,0,0,0,14,3,11,0,0,9,0,1,0,12,0,20,0,19,0,23,1,0,13,10,9,0,2,0
layer_13,0,0,0,2,2,13,0,0,11,38,3,24,0,1,6,31,0,0,0,0,1,0,0,3,9,0,1,2,10,0,64,3
layer_14,2,2,0,0,13,55,59,0,0,0,5,0,0,2,0,0,0,0,25,40,0,0,0,0,56,22,12,25,0,0,0,5
layer_15,51,27,0,13,0,0,21,0,67,0,7,0,5,6,31,1,0,0,4,0,0,0,0,0,203,3,5,0,4,0,0,0
