,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,298,685,6,0,4,117,0,18,4,1,0,1,45,2,0,527,0,347,88,3,1,136,0,0
layer_1,0,0,0,46,86,10,1,0,31,0,0,0,45,2,18,0,0,0,0,0,0,0,38,11
layer_2,1,5,9,0,0,0,5,9,0,0,0,0,0,0,0,0,2,0,3,0,2,11,0,4
layer_3,0,0,41,0,4,1,0,0,1,0,0,3,0,0,0,0,0,0,14,1,0,9,0,26
layer_4,0,2,0,19,0,7,1,0,0,0,2,57,2,21,0,0,1,2,6,7,0,0,0,10
layer_5,1,10,1,0,1,0,0,0,0,6,8,17,14,5,2,0,1,0,0,1,0,0,20,39
layer_6,11,0,0,0,1,40,8,21,16,17,0,4,40,0,2,2,0,21,0,0,2,0,84,115
layer_7,20,54,0,1,0,0,4,23,73,38,15,0,3,91,5,0,3,0,14,0,3,10,17,14
layer_8,1,0,0,6,21,56,0,0,0,8,6,16,1,1,23,36,0,0,28,0,0,14,20,5
layer_9,2,41,20,0,0,0,23,210,52,0,3,0,13,0,19,0,8,0,27,0,43,0,1,7
layer_10,53,1,3,0,5,0,0,50,0,1,3,0,277,50,121,0,5,0,3,3,8,0,0,0
layer_11,7,0,1,12,1,10,0,0,8,6,0,3,31,182,36,0,14,10,64,55,16,22,9,22
layer_12,2,20,3,1,0,46,33,21,2,11,4,12,4,0,1,2,11,58,4,0,0,1,25,58
layer_13,2,15,4,6,10,3,633,21,171,52,2,15,0,0,13,9,1,4,13,3,1,0,0,9
layer_14,274,0,0,130,35,337,69,22,0,312,11,8,4,0,0,9,10,53,0,33,15,7,3,112
layer_15,4,2,27,86,7,1,0,0,77,12,25,44,0,0,59,69,1,16,1,0,0,18,8,30
layer_16,0,6,0,0,120,1,19,6,3,11,0,7,1,0,0,0,0,2,22,72,43,21,14,1
layer_17,25,1,7,0,0,32,80,14,1,1,0,1,0,0,0,36,26,0,0,7,3,0,4,4
layer_18,1,5,1,0,0,1,10,7,0,0,0,4,0,0,0,0,11,6,0,1,3,123,13,0
layer_19,15,52,0,32,20,13,44,47,1,6,1,11,0,18,2,0,0,0,6,7,5,0,1,6
layer_20,0,0,1,3,0,3,7,0,0,0,0,3,185,76,0,4,3,10,10,6,2,150,1,75
layer_21,1,0,4,0,0,0,0,0,2,2,0,91,0,0,3,0,3,0,1,1,1,4,1,21
layer_22,0,1,0,0,0,0,0,0,1,0,0,0,2,2,106,0,8,28,1,0,1,1,0,3
layer_23,0,2,29,0,0,0,0,0,18,0,1,0,0,21,59,0,53,50,0,0,19,3,0,27
layer_24,0,1,1,0,0,0,63,131,5,3,0,71,32,1,0,0,1,0,0,1,0,19,0,3
layer_25,0,4,6,1,0,2,30,0,20,1,3,0,0,1,0,0,0,0,15,0,3,32,3,73
layer_26,1,25,37,3,4,5,1,51,0,0,0,0,43,55,151,1,3,6,14,45,14,0,0,6
layer_27,56,17,4,0,18,93,0,1,8,38,7,30,0,1,0,0,0,7,16,35,0,28,12,9
