,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,332,482,548,810,458,536,450,226,725,91,906,484
layer_1,87,567,71,68,715,150,38,90,41,13,271,96
layer_2,930,399,10,11,62,70,53,110,223,930,126,423
layer_3,3,128,21,581,223,771,30,24,420,926,696,629
layer_4,211,275,21,3,374,658,508,362,16,23,324,440
layer_5,451,153,30,234,19,3,142,412,212,948,669,160
layer_6,123,220,127,206,248,726,392,44,1,657,136,622
layer_7,204,571,675,39,659,403,204,55,471,486,543,196
layer_8,33,1,230,22,250,248,63,119,92,382,148,388
layer_9,45,42,89,151,59,187,1,234,113,56,162,3
layer_10,113,8,97,37,30,8,33,23,92,7,152,288
layer_11,9,23,80,11,39,48,9,14,224,101,14,14
