,0,1,2,3,4,5,6,7,8,9,10,11
0,0.453,0.523,0.354,0.189,0.401,0.546,0.2,0.721,0.497,0.084,0.84,0.415
1,0.385,0.421,0.0,0.219,0.0,0.477,0.342,0.487,0.7,0.373,0.545,0.417
2,0.513,0.483,0.712,0.043,0.038,0.851,0.69,0.0,0.351,0.398,0.427,0.03
3,0.53,0.147,0.761,0.22,0.448,0.358,0.36,0.614,0.113,0.04,0.013,0.277
4,0.509,0.514,0.368,0.266,0.301,0.549,0.441,0.341,0.599,0.41,0.574,0.575
5,0.419,0.206,0.413,0.084,0.298,0.506,0.538,0.33,0.153,0.513,0.08,0.52
6,0.775,0.627,0.508,0.34,0.461,0.614,0.521,0.187,0.224,0.081,0.326,0.365
7,0.538,0.368,0.351,0.387,0.254,0.413,0.45,0.593,0.299,0.371,0.447,0.314
8,0.399,0.574,0.443,0.385,0.443,0.297,0.35,0.453,0.333,0.434,0.344,0.475
9,0.277,0.289,0.336,0.338,0.427,0.42,0.401,0.566,0.454,0.292,0.31,0.519
10,0.443,0.361,0.34,0.373,0.478,0.337,0.349,0.296,0.383,0.382,0.348,0.604
11,0.38,0.262,0.373,0.293,0.383,0.406,0.402,0.304,0.318,0.413,0.28,0.278
