,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,8,1,22,20,1,1,19,17,1,5,12,18,17,14,22,17
layer_1,3,4,2,2,0,2,4,12,5,1,4,6,4,6,2,1
layer_2,1,3,2,4,6,15,8,0,0,3,0,3,3,2,12,0
layer_3,1,12,3,1,11,6,8,11,0,5,2,16,1,3,12,8
layer_4,8,0,17,7,9,3,6,7,14,3,6,4,0,10,19,14
layer_5,6,9,0,15,21,10,18,4,4,13,4,4,3,0,18,3
layer_6,21,4,9,4,15,20,6,5,9,0,10,16,5,2,16,23
layer_7,0,1,12,11,10,21,0,6,16,13,0,0,0,15,12,16
layer_8,20,6,13,17,11,1,0,15,15,0,16,22,16,0,7,11
layer_9,6,13,0,0,5,0,13,16,5,17,1,17,3,11,6,1
layer_10,0,0,20,6,0,23,9,6,15,11,20,16,9,1,10,12
layer_11,3,9,1,6,14,0,1,9,8,9,13,14,0,2,1,1
layer_12,14,17,8,3,12,18,9,0,9,6,3,8,18,18,0,5
layer_13,2,2,3,17,0,1,0,0,12,0,0,1,0,20,9,7
layer_14,5,0,1,2,13,0,1,2,14,0,22,8,3,0,3,6
layer_15,0,15,0,1,3,8,20,16,9,10,0,6,7,6,21,9
layer_16,0,12,4,5,14,13,12,12,3,5,4,4,3,5,12,3
layer_17,3,2,5,4,3,3,5,4,2,1,15,7,3,4,2,3
layer_18,3,4,3,4,4,7,6,16,8,9,16,12,0,0,11,11
layer_19,4,3,6,10,2,3,3,4,5,11,5,2,13,14,3,3
layer_20,16,13,11,10,1,10,9,8,11,6,5,12,7,12,2,6
layer_21,10,9,8,4,8,3,10,3,15,9,10,10,4,4,13,5
layer_22,13,5,16,16,17,22,6,7,15,14,1,1,5,11,11,3
layer_23,12,2,11,13,14,14,1,2,2,6,6,4,9,6,4,11
layer_24,7,6,2,16,8,7,4,2,3,16,10,1,7,2,1,1
layer_25,3,8,2,0,10,0,2,2,3,7,4,1,3,0,1,1
layer_26,0,4,0,0,0,0,1,0,1,4,6,8,1,2,0,0
layer_27,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0
layer_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_29,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
layer_30,1,0,2,1,0,0,0,0,3,1,0,0,2,1,0,3
layer_31,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0
layer_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
layer_41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
