,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,5,8,111,0,0,0,161,71,53,46,1,45,0,7,127,0
layer_1,0,0,0,0,0,1,0,23,0,0,0,0,0,2,9,0
layer_2,0,3,2,17,7,8,114,3,3,9,5,1,29,60,0,2
layer_3,0,1,0,1,2,75,0,0,0,13,0,5,3,5,97,4
layer_4,45,0,8,0,0,1,0,1,141,0,4,0,0,0,1,4
layer_5,0,0,0,5,98,1,16,0,0,2,0,0,5,0,36,0
layer_6,5,0,0,1,77,13,4,0,0,2,2,14,13,0,5,93
layer_7,0,0,2,20,1,124,0,0,1,3,0,0,0,3,4,25
layer_8,39,0,4,1,0,0,0,2,2,0,3,0,11,0,0,1
layer_9,9,4,0,0,1,0,6,2,0,0,1,14,1,12,0,0
layer_10,0,4,8,8,115,75,0,3,8,0,34,2,1,0,1,0
layer_11,8,4,0,4,75,1,22,27,26,1,10,0,0,45,0,0
layer_12,3,2,15,24,62,23,1,0,0,2,0,0,11,2,0,0
layer_13,14,2,0,1,0,1,0,0,43,0,7,5,0,0,80,1
layer_14,3,1,3,0,23,0,14,6,0,1,38,49,0,0,1,20
layer_15,34,67,1,0,13,8,86,46,11,19,0,6,26,2,56,0
layer_16,93,0,9,3,30,10,0,4,0,44,0,9,0,0,4,0
layer_17,0,2,17,5,0,0,15,4,0,0,4,0,1,0,2,13
layer_18,2,3,0,16,0,6,5,19,0,10,0,52,24,0,6,16
layer_19,9,13,9,26,19,18,1,16,1,1,0,0,0,48,25,2
layer_20,78,85,19,18,3,3,1,1,1,9,9,3,3,13,6,20
layer_21,17,0,2,0,8,1,0,8,11,0,14,5,4,7,7,83
layer_22,2,15,104,56,0,3,11,0,0,91,5,6,9,12,59,49
layer_23,2,11,0,0,31,0,16,90,0,0,16,0,9,7,11,1
layer_24,0,0,98,46,16,37,8,30,0,0,0,0,1,0,8,27
layer_25,0,3,0,13,45,55,3,7,6,21,5,0,0,0,21,0
layer_26,0,0,4,7,4,0,46,2,0,53,0,1,0,33,0,8
layer_27,13,0,99,11,26,1,4,68,2,6,0,0,4,0,0,14
layer_28,7,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0
layer_29,0,0,0,0,0,7,3,0,0,0,2,18,10,0,1,2
layer_30,0,0,0,0,0,1,15,0,0,0,15,2,0,0,3,14
layer_31,3,0,1,13,1,14,0,0,13,0,55,0,0,0,3,0
layer_32,0,0,0,0,0,0,0,0,2,9,1,6,0,0,0,0
layer_33,0,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0
layer_34,1,1,0,0,1,5,0,0,0,2,5,0,0,0,0,0
layer_35,0,0,1,6,1,0,0,0,1,3,1,3,2,0,0,0
layer_36,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0
layer_37,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0
layer_38,0,5,0,0,1,6,0,0,0,18,1,0,0,0,0,0
layer_39,1,0,7,0,2,1,0,4,0,1,1,1,0,7,0,0
layer_40,0,0,0,17,0,0,3,0,0,1,1,0,0,2,0,0
layer_41,1,2,0,0,0,1,0,0,0,0,4,0,1,0,0,0
