,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,113.19467,31.002714,495.79678,16.920969,20.20448,17.502779,23.866713,69.09688,20.812037,13.186016,15.232789,116.06724,3.0744472,3.8362782,2.178533,51.86986,4.684695,54.7358,2.9474676,7.9680343,21.818497,17.859606,6.885656,80.64417,162.56088,32.868942,73.69132,29.53025,3.957093,0.22702934,1.5841289,2.9904204e-06
layer_1,48.341145,116.65084,9.056664,13.474362,67.72866,19.947279,24.212616,5.7887826,4.384672,7.68675,35.538475,34.017242,15.137917,70.67587,5.7440577,11.199686,34.828022,32.902344,153.03876,4.307385,200.44249,72.20368,2.8550673,0.7818199,91.53253,5.9302745,75.08529,11.046154,34.520695,13.708625,231.04556,19.147966
layer_2,15.359545,4.01473,57.57087,7.553364,10.190706,16.961428,4.536856,49.37749,36.992146,9.789927,4.6488996,17.293262,0.1405378,1.7743098,1.8711501,0.875966,21.09579,13.242308,8.560245,21.26775,0.13572201,0.0065294616,0.11505097,2.2256982,10.039619,0.07636859,0.6810846,3.9079707,6.3945947,5.046093,11.29169,32.38282
layer_3,7.314962,5.068993,29.325443,6.530348,25.067644,45.082157,16.920105,38.026764,28.352043,7.88435,46.24396,37.551365,10.369229,25.961138,23.341936,43.646523,21.79438,51.506493,44.38559,20.8299,9.423872,38.536873,18.301903,11.182759,77.88291,15.649079,14.978631,5.957221,36.17339,17.672625,26.138674,29.759022
layer_4,2.2306385,16.159998,12.484648,4.5212016,37.029858,35.526463,28.293846,47.292706,27.736273,41.897102,16.91391,21.530085,106.86981,80.68,25.080694,16.049719,0.44423398,47.529903,25.080109,2.8648913,4.2545443,5.654592,16.47685,33.092026,61.48877,18.570704,19.175673,25.904377,2.6580656,0.7947779,1.5493009,96.2793
layer_5,3.7139978,7.962972,34.075577,58.04425,7.737833,2.2399316,7.039155,2.7939215,0.3887994,0.58306795,0.1551361,3.7064834,38.84336,91.01909,65.22859,59.852924,49.903435,41.468376,32.994812,41.35615,8.456837,9.718372,4.0692096,9.34122,7.6710777,21.548893,18.473112,13.627436,37.193882,25.531645,21.519653,34.980297
layer_6,44.600536,44.03545,3.0847392,9.41651,81.94327,35.77601,15.030792,72.5079,155.25642,2.9416814,108.2518,162.70801,72.170044,84.21969,6.998693,82.563416,64.18292,13.096504,66.32156,22.971952,45.803036,39.40239,39.667233,34.14712,7.2213807,43.82306,3.285165,7.3570127,10.560658,11.750116,42.779938,3.0234175
layer_7,74.68272,65.75422,150.33334,6.540541,46.99804,124.7083,9.88262,13.443817,43.354607,37.808685,33.38567,54.487087,68.36277,14.443503,20.720009,15.07609,27.528034,63.21207,39.97628,57.8828,41.62615,41.952625,12.089729,24.59994,8.178151,0.3267991,8.617981,7.2496276,51.612125,80.497406,60.92165,34.746723
layer_8,10.276681,0.823817,11.565025,9.0900755,116.01083,122.46214,59.756744,34.240276,17.183529,5.9650135,8.711282,2.622089,22.655182,80.02134,15.804818,104.70386,75.38587,26.857986,36.62695,71.61597,27.050858,38.418236,118.706184,30.119328,41.042255,23.28864,23.368996,25.054764,19.145124,36.700382,36.31858,41.5105
layer_9,48.369045,40.08205,34.59557,32.46947,16.721567,16.099583,30.99639,5.4810038,55.825977,86.52819,147.30408,225.9243,14.5218525,21.68046,17.897806,20.701437,26.406376,30.536537,32.89594,41.02745,31.646675,9.243191,23.95968,22.417477,48.735268,9.10619,49.0536,4.3865223,30.014246,51.384445,34.88752,22.385548
