,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,557,532,382,487,259,519,791,672,285,145,516,192,395,642,690,567
layer_1,795,43,285,170,439,60,194,53,230,272,132,196,419,162,103,66
layer_2,213,369,282,144,523,606,480,427,409,765,212,862,356,239,74,64
layer_3,82,214,74,106,111,399,75,82,74,74,74,74,79,92,75,73
layer_4,74,74,74,75,74,386,74,170,69,74,74,84,74,79,77,128
layer_5,172,77,81,74,80,93,177,74,70,80,74,74,94,82,74,168
layer_6,106,281,78,74,83,146,74,77,73,75,75,74,66,74,74,77
layer_7,105,95,87,85,84,76,75,75,75,74,74,162,77,74,100,74
layer_8,75,74,57,141,135,87,304,81,87,81,80,213,150,75,100,74
layer_9,99,84,76,87,99,348,77,149,77,194,141,79,74,212,74,73
layer_10,74,90,98,182,117,92,75,74,74,134,77,198,85,69,88,70
layer_11,74,159,77,85,145,224,73,83,89,89,67,425,124,91,136,74
layer_12,79,74,82,73,74,74,76,80,75,74,74,110,313,88,77,74
layer_13,155,75,75,76,77,61,73,100,74,78,77,75,204,75,72,124
layer_14,137,72,74,74,79,75,74,79,74,131,81,111,91,81,81,74
layer_15,75,98,59,72,75,74,78,74,89,76,84,108,77,240,101,76
layer_16,76,77,78,140,69,75,75,74,72,76,82,73,74,75,74,84
layer_17,72,73,197,74,77,74,86,75,78,78,75,107,68,83,75,74
layer_18,73,80,75,75,78,74,79,73,71,121,75,427,76,74,73,75
layer_19,75,74,145,74,78,74,74,77,74,92,71,83,80,74,87,76
layer_20,79,72,77,282,75,149,76,69,75,65,78,128,66,75,669,76
layer_21,76,73,96,76,75,84,74,73,74,79,74,76,74,74,75,77
layer_22,79,75,73,72,75,74,74,75,75,74,76,74,74,73,75,72
layer_23,72,89,74,76,77,110,76,74,117,74,90,79,76,74,75,74
layer_24,74,80,76,74,74,76,120,192,79,75,103,74,230,83,78,74
layer_25,84,76,75,74,76,73,141,73,74,74,75,75,74,389,74,74
layer_26,85,68,74,74,74,74,75,75,84,198,304,75,89,74,81,157
layer_27,65,74,60,87,76,249,74,73,75,73,74,75,74,75,74,69
