,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.45,0.375,0.275,0.125,0.375,0.45,0.525,0.475,0.15,0.25,0.275,0.2,0.175,0.5,0.3,0.5
1,0.35,0.2,0.25,0.075,0.375,0.075,0.525,0.225,0.325,0.35,0.225,0.3,0.2,0.175,0.325,0.125
2,0.35,0.4,0.25,0.35,0.175,0.3,0.325,0.375,0.475,0.25,0.15,0.575,0.45,0.275,0.1,0.275
3,0.15,0.175,0.15,0.15,0.2,0.575,0.15,0.15,0.15,0.15,0.175,0.175,0.15,0.15,0.15,0.15
4,0.175,0.15,0.175,0.175,0.15,0.275,0.15,0.325,0.175,0.15,0.15,0.15,0.15,0.15,0.25,0.15
5,0.25,0.15,0.15,0.15,0.175,0.4,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.175,0.25
6,0.35,0.225,0.225,0.175,0.125,0.15,0.15,0.15,0.175,0.15,0.175,0.15,0.175,0.15,0.175,0.15
7,0.15,0.2,0.15,0.175,0.15,0.15,0.15,0.175,0.15,0.15,0.15,0.3,0.15,0.15,0.15,0.15
8,0.15,0.15,0.175,0.15,0.175,0.15,0.175,0.15,0.15,0.15,0.15,0.225,0.2,0.15,0.15,0.1
9,0.175,0.15,0.15,0.15,0.125,0.3,0.15,0.15,0.15,0.175,0.15,0.15,0.15,0.15,0.175,0.15
10,0.15,0.15,0.15,0.175,0.175,0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.15,0.15,0.175,0.15
11,0.15,0.15,0.15,0.175,0.25,0.2,0.15,0.15,0.15,0.15,0.1,0.275,0.15,0.175,0.175,0.15
12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.15,0.15,0.15
13,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.175,0.15,0.125,0.15,0.15,0.2,0.15,0.15,0.15
14,0.15,0.125,0.15,0.15,0.175,0.15,0.15,0.15,0.15,0.275,0.125,0.175,0.175,0.15,0.15,0.175
15,0.15,0.15,0.1,0.125,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.275,0.225,0.15
16,0.15,0.15,0.15,0.175,0.125,0.15,0.175,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.175
17,0.15,0.15,0.175,0.15,0.15,0.15,0.175,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
18,0.15,0.15,0.175,0.15,0.15,0.15,0.2,0.15,0.15,0.3,0.15,0.225,0.15,0.15,0.15,0.15
19,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
20,0.15,0.15,0.15,0.4,0.15,0.175,0.15,0.15,0.15,0.15,0.15,0.275,0.15,0.15,0.35,0.15
21,0.15,0.15,0.15,0.15,0.15,0.175,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.175,0.15
22,0.15,0.15,0.15,0.15,0.15,0.15,0.025,0.15,0.15,0.15,0.15,0.15,0.175,0.15,0.15,0.15
23,0.15,0.2,0.15,0.15,0.15,0.175,0.15,0.15,0.175,0.15,0.175,0.15,0.15,0.15,0.15,0.15
24,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.175,0.15,0.175,0.15,0.25,0.3,0.15,0.15
25,0.15,0.15,0.15,0.15,0.15,0.15,0.25,0.15,0.15,0.15,0.15,0.15,0.15,0.275,0.15,0.15
26,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.1,0.15,0.175,0.15,0.15,0.125,0.15
27,0.15,0.125,0.1,0.225,0.075,0.3,0.15,0.175,0.15,0.15,0.15,0.15,0.075,0.15,0.15,0.15
