,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,14,15,6,11,5,11,7,8,8,8,3,6,8,7,1,9
layer_1,13,15,13,14,15,13,10,13,11,8,10,11,10,6,4,6
layer_2,13,11,12,16,11,15,9,9,12,12,12,5,8,11,11,5
layer_3,12,13,12,10,9,9,10,4,9,10,11,8,10,12,8,8
layer_4,14,10,8,12,11,8,5,6,12,10,11,9,5,10,8,6
layer_5,16,12,9,9,9,5,5,4,4,4,4,4,5,4,4,4
layer_6,10,8,8,6,7,4,5,6,4,4,4,4,4,4,4,5
layer_7,12,9,3,6,4,13,4,4,5,4,4,4,4,4,4,4
layer_8,14,4,12,9,4,6,4,5,4,4,7,4,4,4,4,4
layer_9,15,8,2,9,8,6,5,4,4,4,4,4,5,4,4,4
layer_10,11,10,10,5,5,4,4,4,4,4,4,4,4,4,4,4
layer_11,9,5,7,6,3,7,4,4,4,4,4,4,4,4,4,4
layer_12,10,9,9,6,6,4,4,5,4,4,4,4,4,4,4,4
layer_13,14,8,6,6,4,5,4,5,4,4,4,4,4,4,4,4
layer_14,8,9,5,4,5,4,4,4,4,4,4,4,4,4,4,4
layer_15,12,9,5,5,4,4,4,4,4,4,6,4,4,5,4,4
layer_16,16,9,5,6,5,4,4,4,4,4,4,4,4,4,4,4
layer_17,9,8,5,5,4,4,4,6,3,4,4,4,4,4,4,4
layer_18,11,5,8,6,6,6,4,5,4,4,3,4,4,4,3,4
layer_19,9,8,4,3,5,8,5,4,4,4,3,5,6,4,4,4
layer_20,6,10,7,6,5,7,4,4,4,4,5,4,4,4,4,4
layer_21,8,9,7,7,5,5,4,4,5,4,4,4,4,4,4,2
layer_22,7,9,7,3,13,4,8,5,4,4,4,4,10,4,4,3
layer_23,12,5,11,5,5,7,6,6,9,7,5,4,3,5,5,3
