,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,2,9,8,8,3,21,4,7,19,3,16,16
layer_1,3,9,3,3,9,5,2,3,2,3,13,2
layer_2,10,10,2,2,5,2,2,3,2,10,8,13
layer_3,2,8,2,5,2,9,1,2,15,12,10,9
layer_4,19,2,2,0,15,16,8,13,1,6,12,10
layer_5,13,8,2,10,5,3,11,13,10,16,10,7
layer_6,7,13,5,8,10,25,11,2,3,11,11,6
layer_7,5,11,10,11,10,21,15,5,3,8,16,6
layer_8,4,0,8,4,2,5,3,14,5,4,10,3
layer_9,9,2,5,2,9,12,3,11,5,5,2,3
layer_10,1,10,3,0,3,6,2,0,1,9,2,2
layer_11,1,0,0,0,1,6,0,3,10,0,2,3
