,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,1172.0,64.0,1037.0,206.0,292.0,10.0,20.0,1499.0,1404.0,15.0,1007.0,0.0
layer_1,93.0,63.0,64.0,8.0,1413.0,303.0,35.0,1.0,14.0,55.0,421.0,292.0
layer_2,13.0,0.0,1572.0,44.0,7.0,36.0,0.0,941.0,14.0,46.0,11.0,160.0
layer_3,2491.0,0.0,1011.0,1523.0,20.0,0.0,31.0,0.0,9.0,1063.0,11.0,8.0
layer_4,51.0,3077.0,8.0,3577.0,38.0,10.0,42.0,1540.0,27.0,47.0,310.0,689.0
layer_5,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0,2196.0,207.0
layer_6,0.0,1665.0,0.0,32.0,1.0,0.0,0.0,0.0,29.0,2144.0,1309.0,24.0
layer_7,258.0,520.0,0.0,59.0,51.0,19.0,4.0,503.0,0.0,0.0,69.0,9.0
layer_8,0.0,4.0,8.0,0.0,1885.0,236.0,20.0,1.0,2997.0,0.0,95.0,24.0
layer_9,0.0,16.0,14.0,6.0,0.0,23.0,177.0,3.0,71.0,0.0,1.0,14.0
layer_10,2.0,3.0,3118.0,13.0,311.0,740.0,0.0,0.0,55.0,2637.0,294.0,348.0
layer_11,456.0,1071.0,1166.0,67.0,80.0,8.0,54.0,3.0,49.0,2.0,415.0,2463.0
