,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.0,1.0,106.0,0.0,0.0,2.0,0.0,20.0,72.0,89.0,18.0,33.0
layer_1,0.0,4.0,22.0,6.0,25.0,2.0,0.0,0.0,1.0,7.0,130.0,74.0
layer_2,1.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,7.0
layer_3,0.0,0.0,106.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_4,0.0,1.0,30.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
layer_5,2.0,2.0,0.0,14.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
layer_6,96.0,2.0,2.0,12.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
layer_7,0.0,31.0,0.0,1.0,0.0,128.0,0.0,2.0,0.0,8.0,1.0,4.0
layer_8,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
layer_9,0.0,31.0,0.0,0.0,0.0,10.0,118.0,9.0,1.0,0.0,10.0,0.0
layer_10,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,22.0,128.0,93.0
layer_11,4.0,21.0,3.0,6.0,1.0,0.0,3.0,77.0,8.0,2.0,0.0,3.0
