,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,0.9214197,0.34886307,3.5978298,0.19486845,0.31617925,0.18868434,0.30540082,0.13892482,0.272479,0.13998596,0.28499824,0.6199683,0.12349192,0.028060935,0.09680331,0.3976609,0.029753916,0.119880185,0.012547707,0.09194881,0.2262959,0.11706347,0.029818896,0.73769414,0.6217612,0.8507842,0.4710736,0.667686,0.099033356,0.00012159635,0.006089473,6.297467e-13
layer_1,0.27808926,0.9409109,0.063116945,0.8653972,0.6308351,0.21355896,0.21922593,0.3893236,0.0435757,0.067085415,0.36136293,0.5664128,0.5304692,0.09028962,0.106079504,0.07452817,1.7293911,0.5426403,0.6394161,0.084129795,1.9515606,0.9201094,0.018836338,0.0032586993,0.11576986,0.057019606,0.11470407,0.1028931,0.34767744,0.18399005,0.17974901,0.068954796
layer_2,0.27349302,0.16480604,0.38094103,0.072413035,0.12346016,0.12950414,0.09161473,0.7025733,0.20156303,0.0685917,0.02245639,0.031309176,0.0056890827,0.07291232,0.033976153,0.013116068,0.22472888,0.017264994,0.08834006,0.13247152,0.0042628734,0.00079776277,0.023325833,0.0055695395,0.15538846,0.003921956,0.03171228,0.096723214,0.26372933,0.18390329,0.7516657,0.5159832
layer_3,0.06977171,0.0440587,0.3816682,0.33916062,0.121776536,0.2536422,0.10859814,0.07242559,0.29230922,0.16242586,0.6532723,0.5445415,0.06014683,0.11793667,0.009948145,0.29849243,0.31256622,1.0764998,0.45228702,0.12730896,0.14033237,0.35046726,0.09760784,0.044515427,0.9448013,0.042901687,0.08291085,0.022191115,0.47962523,0.43378595,0.526053,0.5431899
layer_4,0.04730893,0.04230358,0.10406629,0.040577866,1.6950464,0.4992749,0.31529346,0.9609625,0.111714736,0.5075142,0.15393913,0.08241696,1.1846263,0.59169173,1.5023916,0.21493316,0.002107592,0.4321528,0.31312814,0.034574825,0.012720185,0.06732148,0.049829405,0.2072369,0.5692155,0.45482978,0.37491024,0.34623745,0.06001693,0.03150077,0.016468564,0.45395118
layer_5,0.063968696,0.0694553,1.009906,0.27677572,0.13079838,0.011628123,0.15852672,0.024674313,0.0027444635,0.0061500445,0.0012829545,0.02580947,0.64487356,1.1082919,0.8238706,0.91273814,0.49966666,0.26403543,0.20969893,0.14949879,0.08688328,0.2491026,0.04595885,0.059039857,0.06624233,0.32736,0.15644243,0.084197946,1.1319258,1.0543289,0.36624083,0.8526775
layer_6,0.57243276,1.0132753,0.027171474,0.14905934,0.9339771,0.24870262,0.26334924,0.86144114,1.9100878,0.121864334,2.528263,0.8501532,0.5047166,1.0425388,0.13436313,0.92194974,1.5439235,0.14877374,1.0845673,0.51859874,0.43955672,0.3506353,0.75188583,0.25750077,0.04586356,0.48717064,0.035412323,0.12864229,0.058189932,0.29936802,0.62972724,0.009003239
layer_7,1.0890933,1.7294631,2.5797665,0.26935256,0.34203213,1.258526,0.25078976,0.27103183,1.323612,0.6440055,0.71603405,0.6979757,0.831458,0.13720559,0.22051458,0.22482473,1.0345366,1.5531965,0.91759574,1.3937393,0.33929348,0.47452712,0.12228823,0.35162106,0.4199729,0.0044109034,0.4700409,0.1079554,0.5631815,0.63812935,0.4164164,0.48495576
layer_8,0.08001773,0.01107638,0.19076668,0.06642588,1.3399267,1.217716,0.9959167,0.43608466,0.08953827,0.021445528,0.07427163,0.015922714,0.35277528,1.019536,0.21666817,0.9940913,0.35398313,0.29025707,0.3754563,0.8148042,0.39848283,0.4495068,1.2189138,0.18103957,0.30609104,0.1613268,0.13574901,0.16546218,0.23565997,0.18032946,0.33777958,0.4583435
layer_9,0.410373,0.25324526,0.7416966,0.31975466,0.12443694,0.12217446,0.29618186,0.06372265,2.154342,1.9279128,1.7832391,3.2750063,0.13648753,0.27526194,0.16737746,0.19809458,0.31861228,0.3006146,0.20191023,0.44270626,0.2155544,0.25206947,0.5120264,0.21557288,0.56222904,0.1311048,0.3826523,0.01707867,0.32460245,0.33345485,0.32139176,0.43929487
