,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,5.439075,0.69633937,1.3556201,0.211627,0.58021337,0.5802139,0.39611495,0.5792698,1.0124562,0.90850693,1.2724228,3.8775508,0.24586532,0.25354683,0.2626449,1.5085775,0.17024367,0.39451596,0.15625447,0.18486215,1.0000851,1.143663,0.32783628,2.632904,0.7312437,2.1515422,0.9529263,1.3792423,0.14587817,0.0033095232,0.041257776,1.0306689e-08
layer_1,1.4445554,0.29986182,0.16247714,0.52330744,0.06034592,0.09576976,0.08035938,0.08626247,0.26545238,0.18353315,2.5433326,0.44725105,0.95579624,0.013020995,0.27279422,0.02662689,0.06479822,0.4377683,0.01176956,0.17878143,0.122533485,2.4767282,0.16655199,0.10562127,0.10735016,0.07479428,0.013975331,0.046265703,1.6221502,1.2229251,0.20656106,0.17558974
layer_2,0.3209367,0.06421494,0.12648,0.058047183,0.87400615,0.79229116,0.22110422,0.694887,0.047303837,0.11365808,0.31538787,0.06596818,0.010635117,0.15760042,0.12652503,0.039997086,0.12439096,0.09186166,0.18819013,0.5852385,0.034354232,0.0014918449,0.0190321,0.010576782,0.19944774,0.0052739107,0.1060072,0.22724229,0.22226503,0.08117079,0.37949872,0.4842871
layer_3,0.4797062,0.23362067,0.87666726,0.07016576,0.09262908,0.0846628,0.20393328,0.1254355,1.0437974,0.1445627,0.3087847,0.19766174,0.39190474,0.72385716,0.1615315,0.48487198,0.23284294,0.112833835,0.038002897,0.11588918,0.5249328,0.66188306,0.9196535,0.24780415,0.72120535,0.41127113,0.15070173,0.16171984,1.2997154,0.6175582,0.5514597,0.54792297
layer_4,0.2821756,0.5604127,0.32147732,0.07669819,0.727412,0.46526724,0.9697816,0.33736864,1.173423,1.0768065,0.74529153,0.29333997,0.15278095,1.1175003,0.092329085,0.62344426,0.0348864,2.3776143,0.57189554,0.1349945,0.23597306,0.07616686,1.0093665,1.020486,0.37610435,0.4603621,0.30689147,1.2078173,0.14044487,0.06884081,0.04641806,0.36172575
layer_5,0.19378968,0.7150041,0.65706384,0.7023602,0.70503336,0.038548313,0.37709025,0.25154567,0.019154347,0.049216785,0.012353581,0.19443344,0.59094715,0.5675061,0.23936819,0.7694337,1.2357277,1.2247031,1.873343,0.62041974,0.36513305,0.76605654,0.22347598,0.41481927,0.32323462,1.0568525,1.285146,0.9894958,0.9052966,1.0196537,1.3523974,0.41835842
layer_6,0.40477565,1.4833786,0.13687359,0.18873332,1.4587225,0.35824275,0.6996944,1.2446508,0.3015144,0.24958202,0.3769342,0.6546272,0.84850276,2.782395,0.693297,2.327315,1.4858167,0.47082776,0.4415462,2.430887,2.9682622,0.72727984,0.6619427,0.95098335,0.65547323,2.5678015,0.44155335,0.74099535,0.103937216,0.095531456,1.3828642,0.05690545
layer_7,0.53260404,0.56722265,2.5417163,0.1457751,1.875992,0.16208398,0.8419499,1.0435185,2.4213572,0.9172226,5.0941834,0.8422131,3.172068,1.2119575,0.834487,1.0823221,0.7812367,1.5472744,3.4956365,1.1790445,2.7327392,1.6004314,0.87303483,0.6793136,0.2237943,0.0073993765,0.47722796,0.42013988,1.0976701,0.561641,0.95456094,1.9377817
layer_8,0.3760434,0.011785454,0.9359782,0.33641,1.3135803,1.3317882,0.6931738,2.1359081,0.24063082,0.2370477,0.57216215,0.028997503,1.7621306,1.0833656,0.6308507,1.7026225,1.4796324,1.4913771,1.8490331,1.4889129,1.7184241,2.9648602,2.3100066,0.46007153,1.9000224,1.2338939,0.5079606,1.3612622,1.7965739,0.89477736,1.002218,1.5722092
layer_9,1.2626057,1.8363227,1.0898994,1.1831352,1.185202,0.49739194,1.1950623,0.26605082,4.6868873,6.414202,1.3726153,1.284489,0.6249729,0.73035026,0.814533,1.072194,1.5060481,1.8657734,0.7504235,1.9316423,1.7809672,1.0063257,2.2028787,1.183478,1.6721288,0.40950626,0.5099765,0.087480545,0.9779855,2.410873,2.5086474,0.35878345
layer_10,0.38594288,0.113678016,0.01044765,0.084481284,0.3329084,0.14727186,0.15772149,0.18490869,0.672326,3.0707026,0.8670416,0.5298344,0.08321913,0.11247102,0.11400322,2.3184676,4.0383277,1.2412171,0.83390343,2.884696,3.2875266,2.3762858,2.1245508,1.1856418,2.0910697,1.3242792,2.4647994,0.95279145,0.3497563,0.45630947,3.695498,0.015646916
layer_11,2.1035337,2.9939759,1.0378281,1.8187349,0.6521206,0.1966692,0.16810524,0.276107,1.5680722,3.5814881,0.7229913,2.1225944,0.4163613,1.4196695,2.4939744,2.240143,3.3001907,6.303657,2.3459785,3.0637803,1.0856775,1.3580936,1.4788563,1.5443969,2.3803473,2.197028,1.9395404,1.9373356,0.12424476,0.40122807,0.34479043,2.7898426
