,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,12,12,9,8,13,3,5,6,2,6,3,2,4,3,4,4
layer_1,14,10,10,3,5,4,4,3,1,1,1,1,1,2,1,1
layer_2,5,8,11,12,2,6,9,5,1,1,4,1,2,1,1,2
layer_3,5,10,7,8,3,1,8,1,4,2,6,1,1,1,2,1
layer_4,7,13,6,8,6,7,4,1,1,3,1,1,1,1,1,5
layer_5,7,9,9,9,9,3,1,1,1,1,1,1,1,1,1,1
layer_6,6,10,6,10,2,1,3,1,1,1,1,1,1,1,1,1
layer_7,13,10,11,4,2,3,6,1,4,2,2,1,1,1,1,1
layer_8,13,12,8,7,4,1,1,1,1,1,1,1,1,1,1,1
layer_9,8,10,1,4,4,2,5,1,1,1,1,1,1,1,1,1
layer_10,8,8,4,2,4,1,3,1,1,1,1,1,1,1,1,1
layer_11,12,6,13,4,2,1,1,2,1,1,1,1,1,1,1,1
layer_12,9,9,4,4,3,1,1,1,1,1,1,1,1,1,1,1
layer_13,8,7,2,4,1,1,1,1,1,1,1,1,1,1,1,1
layer_14,4,5,4,1,2,5,1,2,1,1,1,1,1,1,1,1
layer_15,5,10,3,1,1,1,4,1,1,1,1,1,1,1,1,1
layer_16,11,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1
layer_17,7,4,6,3,2,2,2,3,2,2,1,1,1,1,1,1
layer_18,9,8,3,3,2,1,1,1,2,1,1,1,1,1,1,1
layer_19,14,6,4,2,1,3,4,1,2,1,2,2,1,1,1,1
layer_20,9,9,3,1,3,3,2,4,3,1,1,1,1,1,1,1
layer_21,13,11,5,5,1,1,2,2,5,1,1,1,1,1,1,1
layer_22,11,6,5,2,4,4,7,3,2,1,1,1,5,1,1,1
layer_23,9,11,2,3,2,10,3,8,5,8,2,6,1,2,1,1
