,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,3,1,4,10,12,11,12,7,5,5,3,8,3,6,11,5
layer_1,0,1,0,1,1,1,1,10,3,0,1,0,0,2,1,0
layer_2,0,2,1,1,2,0,0,2,0,1,1,2,2,0,2,1
layer_3,0,4,6,2,2,2,0,2,1,0,1,0,0,0,1,0
layer_4,0,13,4,7,11,2,15,0,2,0,0,0,0,0,2,1
layer_5,2,6,9,7,1,1,0,0,6,0,0,0,0,0,0,0
layer_6,3,4,2,11,0,0,5,2,0,0,0,0,0,0,0,0
layer_7,0,17,5,13,2,0,3,2,3,0,0,0,0,0,0,0
layer_8,0,6,14,15,0,3,0,0,1,0,1,0,0,0,0,0
layer_9,7,3,4,6,3,1,5,2,0,0,0,0,0,0,0,0
layer_10,5,9,0,1,12,1,7,0,0,0,0,0,0,0,0,0
layer_11,6,7,2,4,0,7,0,1,0,0,0,0,0,0,0,0
layer_12,12,7,3,3,1,0,3,5,0,0,0,0,0,0,0,0
layer_13,1,4,7,10,0,2,0,1,1,0,0,0,0,0,0,0
layer_14,12,3,3,2,1,2,1,0,2,0,0,0,0,0,0,0
layer_15,12,3,2,3,0,0,6,0,0,0,0,0,0,0,0,0
layer_16,2,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0
layer_17,5,8,10,4,3,1,1,6,0,0,0,0,0,0,0,0
layer_18,9,10,10,1,2,0,0,1,0,0,0,0,0,0,0,0
layer_19,5,14,15,5,2,1,7,0,0,0,0,0,0,0,0,0
layer_20,10,17,6,1,5,4,1,0,1,0,1,0,0,0,0,0
layer_21,18,0,4,13,1,5,11,1,4,0,0,0,0,0,1,2
layer_22,14,12,10,4,6,19,6,10,0,0,0,0,0,0,0,0
layer_23,14,21,1,18,10,14,7,8,1,5,2,2,0,0,0,0
