,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,0.7569914,0.83422923,0.1669945,0.9459235,0.88681626,0.895483,0.46433896,0.24869832,0.6456084,0.5673275,0.75280106,0.6662307,0.9046163,0.5379946,0.060217403,0.8836607
layer_1,0.9215194,0.88502556,0.91252804,0.8885926,0.0012996021,0.9128686,0.8977661,0.9694562,0.88897187,0.9150265,0.8823237,0.8769007,0.9147709,0.89464915,0.9395139,0.9936025
layer_2,0.93803275,0.92042184,0.94148165,0.8664705,0.95729876,0.9570821,0.9739067,0.23189092,0.6207449,0.96765065,0.6868117,0.9305963,0.93024117,0.982013,0.94172835,0.9137963
layer_3,0.93268836,0.9057535,0.87885153,0.8688303,0.900053,0.89500344,0.88939923,0.88198316,0.06461514,0.9443357,0.78570724,0.97920716,0.5569661,0.983131,0.9401216,0.9727661
layer_4,0.9223568,0.0021512439,0.97280276,0.7455796,0.89549017,0.8665197,0.8919946,0.8929229,0.94163823,1.0,0.886046,0.9019134,0.18538794,0.9123999,0.94316196,0.9582405
layer_5,0.8808248,0.8831699,0.7550625,0.92982286,0.913569,0.8950285,0.91240793,0.87827027,0.80243623,0.9312345,0.8818993,0.889724,0.9778587,0.40746173,0.95138824,0.8844921
layer_6,0.91187406,0.87491447,0.91763383,0.880555,0.83307534,0.86153066,0.9197154,0.88490564,0.88144004,0.9436302,0.88265157,0.89387393,0.9112231,0.2784227,0.9582412,0.9453822
layer_7,0.8803545,0.8791914,0.91361755,0.89354247,0.9348489,0.9199994,0.95266116,0.88920075,0.92217934,0.947553,0.87773854,0.8814632,0.005954751,0.89652383,0.90010244,0.93182176
layer_8,0.80302554,0.7455126,0.9184651,0.92344797,0.8851794,0.92652553,0.09761118,0.90175956,0.88661534,0.9157726,0.89542514,0.9406962,0.91291296,0.92052484,0.8818092,0.88604844
layer_9,0.9003777,0.92148584,0.8722851,0.8812742,0.88996536,0.009172363,0.89529616,0.8920177,0.8659954,0.9027833,0.9389981,0.9184419,0.8810943,0.79239666,0.92570573,0.88203025
layer_10,0.34209624,0.91333973,0.8722754,0.8832555,0.11019887,0.53043,0.88948154,0.87779844,0.9238296,0.9541073,0.96325475,0.9000483,0.8973824,0.0011907185,0.73181146,0.907441
layer_11,0.9169782,0.88400424,0.8813723,0.89762723,0.8893223,0.0006200016,0.9336854,0.9006695,0.88741165,0.8860567,0.88057625,0.8809275,0.018369813,0.8367661,0.8717603,0.8810114
layer_12,0.90309244,0.94449127,0.89224774,0.84972596,0.8801817,0.8598883,0.88952523,0.4546166,0.8813002,0.8873606,0.8786764,0.88194156,0.8547777,0.925873,0.88290155,0.87768245
