,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,417,426,482,904,429,685,521,478,681,279,688,417,526,442,573,524
layer_1,449,54,196,161,539,167,112,90,181,136,295,360,455,1041,178,101
layer_2,130,230,396,421,1107,555,987,488,515,667,477,455,139,417,99,86
layer_3,41,113,40,65,40,338,47,41,40,42,40,41,45,82,39,41
layer_4,40,41,40,40,40,95,41,102,40,40,40,70,40,41,39,45
layer_5,155,42,214,40,40,61,100,40,41,40,40,40,42,43,40,104
layer_6,42,210,44,40,49,221,40,40,40,40,41,42,40,40,40,41
layer_7,80,276,55,40,40,42,40,40,40,40,40,109,43,47,40,40
layer_8,40,40,44,49,49,43,65,49,42,41,40,59,94,40,48,40
layer_9,44,40,42,43,58,181,40,61,40,144,69,40,40,182,40,40
layer_10,40,42,44,76,64,42,40,40,40,58,40,95,41,40,40,40
layer_11,40,41,40,45,97,81,40,42,48,42,40,576,52,46,58,40
layer_12,41,40,47,40,40,40,44,59,40,40,40,40,222,50,46,40
layer_13,48,40,40,40,40,40,40,50,40,40,40,40,48,40,47,42
layer_14,53,40,40,41,42,40,40,40,47,269,40,40,43,41,41,40
layer_15,40,54,41,40,40,40,40,40,41,41,41,46,42,144,43,40
layer_16,41,40,40,41,40,44,40,40,40,40,42,40,40,40,40,40
layer_17,41,40,58,40,40,40,40,40,42,42,40,52,49,64,40,40
layer_18,40,40,40,40,41,41,41,41,40,82,40,182,40,40,40,40
layer_19,41,40,48,40,94,40,40,40,40,42,40,40,40,40,42,41
layer_20,41,40,40,93,40,57,40,40,40,40,40,45,40,40,414,44
layer_21,40,40,40,40,40,40,40,40,40,40,40,43,322,40,40,41
layer_22,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,40
layer_23,40,50,40,40,40,45,40,40,81,40,51,40,40,40,40,40
layer_24,40,40,43,40,40,40,43,81,41,40,47,40,89,41,40,39
layer_25,40,40,40,40,44,40,77,40,41,40,40,40,40,49,40,40
layer_26,40,40,40,40,40,40,40,40,40,45,135,40,45,40,40,90
layer_27,43,40,47,55,41,93,40,42,40,40,40,40,40,40,40,43
