,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.0031633195,0.047601778,0.66850626,0.0012489002,0.008151213,0.029720377,0.004573545,0.12843542,0.31167844,0.61467546,0.30925602,0.42063716
layer_1,0.016664183,0.19062693,0.12230608,0.10046504,0.49880588,0.0015333487,0.0,0.0038154104,0.025915459,0.18337993,0.6389579,0.61415625
layer_2,0.020085976,0.050243217,0.19489665,0.0,0.0040840693,0.02823702,0.0,0.22615938,0.04316282,0.17343232,0.21627109,0.24536572
layer_3,0.0017384705,0.010833928,1.0,0.08557944,0.0,0.331414,0.0,0.0,0.04048245,0.0,0.0,0.002087723
layer_4,0.0,0.0,0.33165535,0.23841552,0.005563412,0.0,0.0044475948,0.0,0.04976907,0.0015065654,0.0,0.038103003
layer_5,0.17999807,0.025970928,0.0,0.3427272,0.0,0.20192902,0.0,0.0018127363,0.0124907615,0.005146918,0.0,0.0
layer_6,0.903054,0.119152576,0.17482324,0.09357581,0.43287763,0.12520953,0.0,0.008259459,0.0,0.0069870115,0.0014675215,0.0
layer_7,0.0014366788,0.15816832,0.0,0.07667207,0.0069200066,0.7685912,0.009116583,0.14318618,0.014453282,0.13327725,0.02801817,0.31469664
layer_8,0.004916829,0.52789754,0.0,0.0,0.0,0.0,0.0,0.0489206,0.0,0.0,0.0,0.28300235
layer_9,0.013404412,0.32709557,0.0,0.0071921223,0.06779487,0.039674446,0.78892714,0.23846798,0.010467043,0.0,0.22339939,0.004896834
layer_10,0.03528281,0.08004229,0.34211788,0.13287553,0.021609416,0.0022531396,0.0,0.18079445,0.007528855,0.29548234,0.81536084,0.9353047
layer_11,0.23155558,0.28840476,0.10712172,0.12776066,0.0,0.006152895,0.19484325,0.22965233,0.050975263,0.055994138,0.002223806,0.08792921
