,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,99,0,360,34,0,10,402,0,0,34,39,37
layer_1,0,50,0,0,0,0,2,0,1,4,12,0
layer_2,0,0,3,0,11,0,0,0,0,0,0,0
layer_3,3,0,0,98,3,26,1,0,46,3,0,9
layer_4,0,2,0,71,195,124,62,1,440,1,257,11
layer_5,11,0,0,0,0,12,0,0,0,0,0,29
layer_6,1,0,535,85,0,5,8,0,0,71,1,62
layer_7,0,0,0,119,21,0,0,0,0,0,0,0
layer_8,8,0,28,0,50,242,0,0,71,0,32,83
layer_9,0,79,0,0,0,0,0,0,407,0,0,0
layer_10,0,0,12,8,0,1,2,4,90,0,11,2
layer_11,260,2,19,3,22,15,108,100,773,5,229,37
