,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.0,2.0,94.0,0.0,1.0,12.0,0.0,39.0,25.0,56.0,26.0,51.0
layer_1,0.0,27.0,62.0,16.0,62.0,0.0,0.0,0.0,0.0,66.0,69.0,59.0
layer_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,21.0,33.0,21.0
layer_3,0.0,0.0,106.0,7.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_4,0.0,0.0,40.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
layer_5,2.0,3.0,0.0,108.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
layer_6,63.0,24.0,11.0,15.0,79.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_7,0.0,10.0,0.0,5.0,0.0,82.0,0.0,6.0,0.0,13.0,0.0,46.0
layer_8,0.0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0
layer_9,1.0,7.0,0.0,0.0,29.0,6.0,107.0,24.0,0.0,0.0,57.0,0.0
layer_10,2.0,5.0,9.0,16.0,1.0,0.0,0.0,36.0,0.0,63.0,73.0,92.0
layer_11,15.0,52.0,66.0,0.0,0.0,0.0,12.0,23.0,8.0,6.0,0.0,13.0
