,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,85,62,70,25,32,31,41,15,32,50,52,31,52,44,37,20,55,46,5,52,30,28,27,39,15,30,29,122,5,16,44,92,34,20,31,42,47,57,23,46,33,24,102,41,36,60,8,16,69,61,50,36,50,89,38,46,34,50,21,21,42,24,43,53,29,65,44,38,36,10,25
layer_1,12,40,18,18,39,20,25,71,20,23,15,32,13,10,30,10,17,31,33,29,23,16,22,34,16,20,26,19,69,12,19,39,37,13,90,16,23,51,27,47,33,9,15,14,26,19,17,14,42,10,30,23,15,15,11,45,10,26,20,39,3,28,17,18,22,15,35,21,146,30,30
layer_2,7,78,28,25,8,106,5,37,5,8,66,11,35,48,9,6,66,10,24,28,83,81,10,38,16,9,16,28,3,2,3,13,29,9,56,42,14,10,16,28,76,25,14,11,29,9,19,10,9,6,9,13,43,16,11,9,17,78,17,10,23,47,12,29,31,16,11,3,57,9,7
layer_3,3,3,3,10,25,60,6,12,3,8,8,3,36,13,26,5,6,3,4,15,12,8,4,15,8,116,16,26,8,28,15,16,3,25,3,91,10,5,98,22,60,3,12,4,3,3,3,3,46,8,12,30,3,125,4,7,77,60,15,13,58,6,5,3,4,36,6,3,6,17,3
layer_4,4,5,4,66,4,4,2,11,4,4,4,5,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,14,4,4,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,37,4,4,4,4,4,4,4,4,6,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4
layer_5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,10,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,65,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,4
layer_6,4,4,4,4,4,5,8,4,4,4,13,4,4,4,4,4,4,4,4,11,4,4,5,4,8,5,11,4,4,4,4,4,4,4,4,22,16,4,4,4,5,4,6,4,4,13,4,4,62,4,4,4,5,4,17,4,1,4,4,43,4,4,4,4,4,4,4,4,4,4,5
layer_7,4,10,31,4,4,4,4,4,4,4,4,6,4,16,21,4,4,4,5,4,6,4,4,4,4,4,4,4,4,16,4,4,4,4,4,4,8,4,11,4,4,4,4,10,4,11,8,19,4,4,4,9,4,4,4,9,4,5,4,4,4,4,4,103,5,4,7,4,4,4,4
layer_8,18,4,4,4,4,4,7,6,4,4,4,4,4,4,5,4,4,14,4,4,5,5,4,4,6,4,4,19,67,0,12,8,8,5,4,4,4,4,4,35,4,4,4,4,4,4,8,4,21,5,5,4,4,13,4,13,4,4,9,6,4,4,4,4,4,4,4,4,4,5,4
layer_9,6,4,4,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,6,4,4,4,39,4,4,12,6,5,4,4,4,4,4,4,4,4,4,4,4,20,4,4,4,4,4,4,7,4,4,5,4,4,4,21,44,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
layer_10,4,4,4,6,4,4,4,11,53,4,4,5,4,4,4,4,6,4,4,8,22,4,5,9,4,6,4,4,10,4,29,8,4,13,12,6,29,5,4,4,4,5,4,4,4,4,4,2,4,4,4,34,10,4,4,4,7,6,4,5,4,4,15,4,4,4,4,13,4,5,5
layer_11,7,5,4,4,5,5,4,4,11,4,0,4,4,4,4,4,15,3,4,4,4,4,9,14,4,4,4,4,4,11,4,4,4,40,4,4,4,8,4,4,8,5,4,4,4,49,4,4,7,14,7,131,6,4,4,4,6,4,4,4,4,39,5,4,10,4,85,4,4,4,4
