,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,423,31,546,29,113,139,560,21,566,306,124,87
layer_1,0,0,0,0,0,132,0,0,13,1,0,235
layer_2,15,0,31,0,1,0,0,0,0,0,0,0
layer_3,0,0,0,1,0,0,0,0,0,5,0,0
layer_4,0,0,206,0,1,0,0,0,0,0,72,0
layer_5,37,0,542,2,0,0,0,3,2,0,0,17
layer_6,123,0,0,15,0,432,4,0,0,0,0,0
layer_7,38,0,3,0,27,0,0,0,0,1,0,0
layer_8,0,0,0,0,0,0,0,1,244,0,4,46
layer_9,0,0,0,1,0,363,0,0,0,0,0,0
layer_10,0,0,0,0,26,21,0,15,8,0,0,0
layer_11,6,0,0,0,17,0,0,0,0,0,0,0
