,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0,0,1448,0,0,5,0,135,197,704,72,608
layer_1,2,162,768,155,1240,1,0,0,3,622,765,360
layer_2,9,101,35,0,0,5,0,232,16,10,474,41
layer_3,0,4,1465,36,0,801,0,1,1,1,0,1
layer_4,1,0,577,263,1,0,0,0,9,1,0,6
layer_5,44,38,0,830,0,216,0,0,2,0,0,1
layer_6,1531,79,78,395,377,4,6,6,0,6,0,0
layer_7,1,126,0,3,5,967,7,58,1,148,5,81
layer_8,11,620,0,0,0,0,1,22,0,0,0,1154
layer_9,4,161,1,33,98,247,1347,110,2,1,942,24
layer_10,27,6,635,147,8,41,0,50,17,695,761,1370
layer_11,231,583,539,38,5,6,59,143,77,87,1,97
