,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,399.32132,14.3444805,365.01266,84.41538,297.16245,17.444815,410.96216,861.4107,429.92175,397.6485,299.50375,324.64536
layer_1,794.1606,811.71106,586.1904,310.01343,484.37225,381.86227,346.21277,360.49585,395.13596,382.53732,378.6132,86.52126
layer_2,1140.8876,292.6961,983.1558,1249.2113,620.5864,1012.9927,550.8991,469.2346,937.59406,737.75244,596.70514,422.03937
layer_3,236.19894,727.9418,1536.3013,577.3374,297.1086,325.81052,809.05145,928.47833,1187.9918,503.6208,487.72504,763.64185
layer_4,629.5557,796.66705,317.22513,568.439,332.25708,757.097,553.2592,514.08154,343.1514,456.2926,280.54208,1283.6598
layer_5,275.91785,247.56436,476.91,492.1883,639.93024,253.45021,739.5219,265.5802,305.84335,279.35837,267.1347,302.29498
layer_6,911.40424,276.66586,318.96185,315.94507,368.7525,395.13202,294.6989,355.63257,505.94687,249.45088,257.81342,528.072
layer_7,1664.1492,252.93605,248.07098,347.58713,384.09683,325.06448,270.46597,253.15057,384.879,368.6357,249.11264,253.60757
layer_8,281.41046,255.19618,266.92703,255.57231,259.74243,481.43552,284.49188,847.32556,264.07852,262.62872,343.73062,321.49384
layer_9,253.47862,248.26656,249.38779,609.7293,256.7222,264.22,249.66605,283.9284,426.68753,248.01654,407.75153,252.90848
layer_10,254.31584,257.54007,252.55225,254.23936,264.43503,420.26614,246.58127,286.87708,274.59225,945.01324,267.41382,266.7624
layer_11,371.7327,256.3084,249.52966,287.89935,282.24176,303.39175,264.63556,302.26163,257.89478,255.55016,315.68195,289.54794
