,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,335,537,294,1794,1444,284,436,1642,412,314,311,285
layer_1,1623,1285,493,246,306,313,271,276,253,246,460,332
layer_2,2513,247,2572,2717,502,2029,307,459,1993,1253,562,246
layer_3,246,349,2741,663,246,247,1901,1954,2250,254,246,575
layer_4,350,441,246,424,246,475,260,788,247,249,246,2730
layer_5,246,247,323,260,414,247,524,246,247,246,247,246
layer_6,821,246,246,246,322,246,246,249,401,246,246,271
layer_7,2506,246,246,246,249,246,246,246,253,247,246,246
layer_8,246,246,246,246,246,247,253,515,246,246,246,247
layer_9,246,246,246,322,246,246,246,246,415,246,247,246
layer_10,246,246,246,246,248,274,246,246,246,1009,246,246
layer_11,273,246,246,246,246,247,246,246,386,246,246,246
