,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,231.0,0.0,75.0,0.0,4.0,0.0,262.0,433.0,245.0,186.0,15.0,90.0
layer_1,512.0,499.0,540.0,18.0,250.0,141.0,39.0,161.0,21.0,18.0,542.0,0.0
layer_2,230.0,50.0,279.0,99.0,163.0,366.0,71.0,375.0,577.0,739.0,547.0,18.0
layer_3,18.0,20.0,145.0,60.0,18.0,18.0,203.0,681.0,312.0,20.0,18.0,36.0
layer_4,33.0,19.0,18.0,257.0,18.0,22.0,137.0,40.0,122.0,18.0,18.0,262.0
layer_5,26.0,18.0,37.0,18.0,25.0,19.0,28.0,18.0,18.0,18.0,18.0,18.0
layer_6,36.0,18.0,18.0,18.0,232.0,18.0,18.0,18.0,130.0,18.0,18.0,18.0
layer_7,93.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
layer_8,18.0,18.0,18.0,18.0,18.0,19.0,178.0,21.0,18.0,18.0,18.0,25.0
layer_9,18.0,18.0,18.0,25.0,18.0,18.0,18.0,18.0,227.0,18.0,18.0,18.0
layer_10,36.0,19.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0
layer_11,34.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0,357.0,18.0,18.0,18.0
