,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,2.5347207,0.3672746,0.27417228,2.1222963,1.3144066,0.37722677,0.036268078,1.4889432,0.26346725,1.1908512,0.17709695,1.3740121
layer_1,0.07665032,0.29035884,0.54802936,1.5708773,0.87819815,0.074761935,0.43589276,0.1360349,0.39342523,0.26823407,0.34137812,0.54029137
layer_2,0.09429952,1.0133854,0.13710523,0.13928796,0.1156863,1.1796442,0.53045714,0.84053403,0.64313126,1.9651186,0.17117599,1.0392396
layer_3,0.06084663,0.24209523,1.4675238,0.6261023,1.8531363,0.92348313,2.0642357,0.110233836,0.15436374,0.3820153,0.63626635,1.4701352
layer_4,0.038107064,0.32875597,0.32025576,1.9288181,0.36420536,0.6264434,1.0550851,0.607777,0.46302816,0.94508976,1.0231544,0.49421832
layer_5,0.97702986,0.3167768,0.96081674,0.8740349,2.9177394,1.4788398,0.10460905,1.5302584,1.2003675,1.99442,0.62264967,1.0642717
layer_6,0.973946,0.45529,0.1456937,1.1542373,0.76252514,1.0448644,1.448911,0.41543403,1.2092587,0.21682504,3.3199959,1.4148042
layer_7,0.20814756,0.91732836,4.8589687,4.623586,0.15380213,0.7866777,2.554443,0.56893164,1.3698723,0.6814481,1.5256892,2.9388435
layer_8,1.6118621,0.28742358,0.45519567,2.7300968,0.76197326,1.3544744,1.3962982,1.9210052,4.052503,1.2763245,1.0916137,1.0134441
layer_9,0.46838233,1.3642464,0.4644379,1.2595826,0.8785758,2.493182,2.0404987,1.9661976,1.2667398,0.049736,0.7401208,2.1486678
layer_10,1.6238471,1.0146301,0.66632557,1.4346077,2.1273775,1.3284442,1.8797525,1.1330287,0.31154048,0.41236135,0.92022103,0.5201227
layer_11,0.66823405,1.1746144,0.74521434,2.0910943,2.4117131,1.9887917,1.0809724,0.84756553,1.8227397,1.8672442,1.2458341,0.4750767
