,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,51.66286,3.0065413,48.826782,4.8832793,23.989744,3.0744283,50.5982,77.8626,49.101517,52.32102,37.3569,49.4592
layer_1,84.33061,71.753746,64.37235,38.784065,54.449516,46.739655,43.38036,52.88138,43.42981,38.569115,66.43413,8.00505
layer_2,60.75479,49.31361,88.65608,59.051994,61.45888,82.574066,44.675365,59.038357,83.03178,110.32911,70.43604,43.359173
layer_3,17.972696,45.408535,62.689693,54.003937,29.430521,37.190598,63.540386,113.63616,73.76656,42.897594,40.92665,54.959873
layer_4,33.24471,42.13837,27.455585,69.75449,25.165459,35.481037,64.88245,43.806934,51.599216,40.32327,23.39057,96.20729
layer_5,37.994728,18.791471,45.230625,40.460384,36.89671,21.351835,41.929012,19.676834,26.669134,28.21062,26.696356,24.514982
layer_6,46.575222,22.104647,25.317043,29.732897,61.235504,40.707314,26.720493,35.63275,59.45722,20.317482,35.463078,26.90562
layer_7,52.86973,23.700377,19.19148,31.540586,23.983335,31.386988,25.672493,26.30711,28.425716,22.321814,23.847347,25.216576
layer_8,24.724344,23.54804,25.053988,22.676956,19.38453,35.735313,58.314087,39.9147,21.899292,22.24446,29.399597,44.279343
layer_9,24.317108,18.899675,20.705547,42.08731,23.537064,21.484192,21.566654,24.65893,58.960976,21.427183,21.181982,20.299484
layer_10,39.39792,28.68201,30.123312,21.253288,32.677208,30.03682,22.127438,22.118143,27.370497,35.780964,33.33102,26.425459
layer_11,39.37975,31.12102,30.003914,34.261356,31.858196,39.600166,35.942173,30.3802,63.4562,29.806614,29.913305,32.677532
