,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,124,17,298,19,23,0,1,201,43,42,15,30
layer_1,19,111,362,23,136,140,50,0,126,299,224,33
layer_2,13,0,196,0,15,50,0,0,3,198,4,1
layer_3,203,0,30,33,7,0,16,63,0,55,1,6
layer_4,265,140,19,42,46,11,233,119,47,161,9,161
layer_5,0,8,0,1,0,0,1,2,1,0,76,7
layer_6,0,101,58,8,5,0,0,0,53,187,49,0
layer_7,10,43,0,89,21,1,3,0,0,4,11,11
layer_8,0,2,1,0,114,19,25,7,215,14,104,145
layer_9,0,13,0,2,0,260,89,159,66,2,0,8
layer_10,121,11,326,6,10,68,13,6,279,210,166,87
layer_11,81,114,202,159,381,54,83,12,354,8,179,372
