,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,92.82489,230.41772,2.67802,39.53968,30.459572,46.5689,86.64287,93.67263,112.2219,23.802864,25.01954,27.600107,57.543797,113.071556,41.338596,314.5082,25.280912,303.49646,52.0327,85.8669,54.740955,144.1481,0.0005204056,0.0019651263
layer_1,70.873314,35.771233,24.101645,19.298534,13.897194,14.1134205,100.35768,23.023876,231.54434,124.42806,14.461279,20.607254,77.54047,40.467117,16.719286,111.71383,110.51875,6.6364446,7.9325724,12.845032,12.293006,64.99899,41.775818,25.333313
layer_2,9.516799,10.101209,15.9948435,49.159004,19.196445,78.191925,8.101592,9.037891,7.4107275,26.75931,19.350117,11.838736,31.18138,26.51634,60.72456,10.116018,4.9631944,15.409204,74.83848,20.828121,38.967365,21.142262,22.908684,23.251638
layer_3,32.92028,48.244762,116.48392,12.255691,12.5228405,21.20389,22.818804,37.757896,37.76829,49.478065,21.747662,65.19456,47.5125,43.085846,13.181531,66.31536,60.989777,26.952139,81.57626,37.803925,15.42883,127.457756,100.65447,151.87488
layer_4,36.541237,90.80555,44.986443,167.36133,36.60926,152.47878,68.389015,153.27083,23.06429,44.059673,90.611855,149.34225,55.06734,126.53382,5.534442,28.91174,30.436445,95.5492,104.44686,163.57974,40.00101,18.153358,14.77522,125.47702
layer_5,38.205463,91.19955,62.90056,30.633009,40.397488,33.219326,2.1207201,0.313183,22.348356,105.854256,195.19894,119.32265,131.50679,141.96669,28.828642,42.089664,112.957054,27.439152,54.00208,77.38861,100.27291,77.73177,110.965744,214.06541
layer_6,158.82742,20.460915,29.745884,52.049015,35.350147,226.06122,117.10471,93.243195,139.49419,128.93446,76.69425,164.09033,126.762825,38.660614,102.33104,115.48787,103.743614,155.76807,27.623056,19.507584,98.715706,14.660233,251.12833,277.9642
layer_7,95.60959,213.58206,34.59849,99.62468,65.40198,57.1025,114.017456,96.65095,209.84319,213.7439,178.76192,82.75888,89.895996,243.82819,144.33109,134.86891,139.43237,71.59502,73.41328,52.532597,36.201694,142.7841,133.11694,121.78989
layer_8,37.188744,70.10687,15.659726,124.12022,165.78506,222.60622,11.402395,45.488453,6.6471314,102.36362,58.087624,204.88452,150.16513,125.19033,185.4095,191.77527,92.67787,97.40401,134.48427,67.20827,80.03914,76.605774,98.39247,85.7153
layer_9,107.24021,133.28056,89.655495,46.24096,99.52192,51.316418,160.71478,165.20142,171.77473,68.368484,62.90047,68.73332,111.55294,52.76705,90.3,65.18423,115.001755,94.23267,145.31795,11.913324,195.2117,72.81573,109.82005,118.594826
layer_10,91.243256,105.45249,118.57043,29.871216,60.79203,36.23811,59.882133,168.51628,93.15372,55.749924,80.58291,17.433393,236.08943,132.11337,191.44836,79.66451,136.9593,89.16754,101.46806,102.73135,104.70135,7.6090355,47.728275,26.99353
layer_11,110.5772,71.94751,92.38387,143.15985,100.27552,92.37061,107.63579,129.97775,140.40508,155.0563,130.3897,140.05113,180.7885,123.1178,178.53464,84.37538,166.97914,151.06038,227.28162,226.73901,150.7313,144.16098,151.7813,138.3645
layer_12,95.18371,102.39617,92.768875,27.888453,26.656996,199.22733,143.67188,112.28351,93.79544,93.00169,119.816864,112.518814,117.1466,73.835365,97.611046,48.149155,105.03484,133.32681,128.32822,28.297258,26.62761,86.989426,156.31664,181.7267
layer_13,86.336174,122.0915,73.75303,88.03774,109.79624,119.90071,218.73283,207.57874,140.96442,177.90326,131.2656,130.38922,52.847958,5.1947827,25.165148,133.9515,38.006214,83.06516,123.189575,238.22519,107.75734,61.37763,51.597786,70.39546
layer_14,203.69958,6.7353344,5.805989,176.17331,124.6983,191.51282,135.39732,155.1151,111.03555,154.23164,85.29385,61.37213,82.041916,71.82738,53.92445,114.92048,92.05103,110.96433,90.5589,120.678,144.20169,69.86872,14.1928215,65.10591
layer_15,40.516018,53.30629,116.87316,150.53374,107.671036,118.57864,43.94776,75.73829,133.5111,114.89703,147.93452,150.19638,92.064186,31.148453,75.25335,76.64736,97.60451,243.61273,48.898155,35.530754,53.507854,71.31983,57.58299,105.95295
layer_16,192.0772,142.57568,13.490268,3.7551928,22.961393,9.417951,114.91524,58.957867,94.82556,67.756256,27.715076,73.61214,7.5016546,12.331212,31.800915,43.133698,44.232685,45.416534,72.25232,108.63795,86.15161,85.91389,23.59209,20.7138
layer_17,75.02704,33.348816,63.756973,13.678859,36.083626,78.71975,88.32099,61.038105,88.93369,20.149303,57.700363,15.967607,4.902237,81.50629,61.496952,130.22232,21.455645,92.12526,69.6079,15.413279,18.463257,15.870268,32.013855,89.08779
layer_18,33.768265,19.903814,12.645662,13.532276,5.5506268,12.04726,66.452866,59.864216,59.055984,73.320915,32.10338,43.61334,46.769405,38.799267,38.79602,4.839734,42.537342,45.76568,28.489908,38.863316,75.86027,55.66352,23.93315,22.038227
layer_19,65.62302,64.79068,59.09145,39.27877,47.1794,45.104885,38.209686,56.45823,47.813576,53.522675,27.841171,65.74364,22.307587,54.509365,34.298588,4.01915,10.980517,13.187974,24.92427,40.57868,33.96232,11.421994,8.770364,11.608051
layer_20,34.478775,24.611313,27.764378,8.356972,15.3059845,15.931551,58.83051,23.897434,14.660647,22.615372,18.509651,8.714912,20.354918,32.776558,19.063581,15.077499,28.88073,18.987968,22.887072,48.776546,44.095104,29.729082,31.064718,29.700628
layer_21,321.89462,37.015064,71.65733,5.9083896,5.9897842,13.730959,8.162695,5.0165977,7.155148,62.869965,41.505646,108.174934,17.32125,20.011114,14.8178215,18.044825,10.431705,23.630976,32.29847,21.682127,24.1515,36.564648,19.462772,33.52903
layer_22,4.82564,40.264385,7.3444285,8.745051,18.13571,13.279492,34.8022,6.3067837,61.03797,17.74046,13.546823,17.216051,15.14165,21.388739,29.784798,25.297148,48.982384,55.029938,5.0725217,7.3420153,5.4082575,9.909712,5.3612247,6.0044656
layer_23,16.27978,33.69244,30.96366,13.456174,176.74997,209.33826,9.5354185,11.615876,39.538918,21.668108,25.263607,21.843773,5.192153,27.391943,34.082382,37.337967,43.83165,28.189331,8.028893,4.481114,46.265366,21.348974,33.40864,40.132626
layer_24,8.570458,13.334546,11.856776,19.35092,20.83454,24.819067,28.37385,81.01176,22.432518,17.700804,45.60194,40.21436,73.93163,26.755226,27.892778,33.24207,39.20224,28.804018,15.426684,14.804911,8.864152,25.154608,45.18937,34.665516
layer_25,70.861046,78.16323,30.026997,135.65015,60.33615,13.706316,43.295574,37.554897,79.92352,10.5294285,7.485965,9.838237,16.178686,13.077751,10.495241,9.497195,10.978857,6.3761163,34.08396,4.12356,55.30052,26.514973,14.260855,110.932144
layer_26,37.79818,71.95876,57.284264,94.40476,80.04261,25.880825,27.784119,55.451298,24.385798,23.032866,33.21306,48.33172,112.893616,82.012634,89.37032,90.333824,81.7435,70.78295,42.448284,100.216,62.7601,21.32965,21.115175,22.629747
layer_27,78.34462,34.02121,17.406149,42.97872,72.90484,89.18706,13.544981,26.857346,22.563263,51.12374,48.602627,7.2216964,15.606147,12.705438,9.141453,23.562449,22.873198,28.871155,74.84835,68.20407,46.974884,64.703514,22.90683,75.1121
