,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,219,351,326,684,289,556,647,223,581,265,579,197,540,237,715,161
layer_1,600,82,143,331,904,309,21,117,218,168,359,293,580,636,145,97
layer_2,180,126,70,756,393,281,549,645,157,599,297,655,504,144,158,523
layer_3,42,63,42,228,42,859,43,120,42,43,42,45,43,42,42,50
layer_4,42,42,42,42,42,46,42,42,42,42,42,43,42,44,42,41
layer_5,97,43,386,59,42,60,131,42,42,42,42,40,42,42,42,50
layer_6,45,79,43,42,63,42,42,42,41,42,42,42,42,42,42,42
layer_7,42,221,42,42,42,42,43,42,42,42,42,175,42,388,44,120
layer_8,44,42,36,42,42,42,47,42,42,42,42,41,84,42,42,42
layer_9,42,42,42,42,40,76,42,43,44,45,42,42,42,127,46,42
layer_10,42,42,42,45,432,42,42,42,42,42,42,53,42,42,41,42
layer_11,42,56,42,41,82,67,28,42,42,42,38,554,44,42,43,42
layer_12,42,42,42,42,42,42,42,441,42,42,43,73,472,164,42,42
layer_13,42,42,42,42,42,31,42,42,42,42,42,42,42,42,43,42
layer_14,42,33,42,42,42,42,43,42,145,633,42,42,42,42,42,42
layer_15,42,43,42,24,42,42,42,43,44,42,42,43,177,432,45,42
layer_16,42,43,42,42,42,42,262,42,42,42,101,42,42,42,42,42
layer_17,41,42,46,43,42,42,43,42,42,42,42,42,42,42,42,22
layer_18,42,42,42,42,42,42,43,42,42,113,42,437,42,42,42,42
layer_19,42,41,55,42,42,42,42,42,42,42,42,42,42,42,42,42
layer_20,42,42,42,52,42,42,42,42,42,42,42,75,42,42,1026,42
layer_21,42,42,42,42,42,43,42,42,42,42,42,42,43,42,42,42
layer_22,42,39,42,42,42,42,42,42,42,42,42,42,42,42,42,42
layer_23,43,45,42,42,42,48,42,42,71,42,42,42,42,42,42,43
layer_24,42,42,42,41,42,43,43,45,44,42,48,42,135,174,43,42
layer_25,42,42,42,42,73,42,70,42,42,42,42,42,42,68,42,42
layer_26,42,42,43,42,42,42,42,42,42,59,56,42,42,42,42,53
layer_27,42,42,3,184,42,53,42,42,42,44,42,42,42,42,42,42
