,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,15,32,4,7,36,30,28,56,152,37,16,48
layer_1,25,6,57,22,2,96,118,30,57,24,59,18
layer_2,0,23,33,16,36,5,6,51,38,1,35,121
layer_3,48,54,23,108,33,1,16,59,63,21,54,36
layer_4,35,32,36,6,19,49,26,21,60,25,35,5
layer_5,28,23,3,45,31,23,12,1,19,6,6,36
layer_6,36,21,32,6,18,8,6,27,27,81,50,7
layer_7,44,9,6,24,19,32,8,3,6,68,15,1
layer_8,14,21,23,26,35,32,10,31,23,14,37,16
layer_9,14,6,19,7,24,28,13,37,20,17,26,18
layer_10,18,23,22,21,8,22,17,30,24,12,18,20
layer_11,25,21,18,13,19,20,12,22,18,23,30,22
