,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.40871608,0.55423564,0.45793492,0.5877806,0.40339747,0.66874933,0.8159715,0.664952,0.4640311,0.56544703,0.41385713,0.69204164
layer_1,0.4508404,0.56892604,0.9077707,0.8829941,0.7103252,0.83264846,0.8044908,0.27834886,0.90632737,0.17757973,0.91650474,0.70971686
layer_2,0.9119456,0.9162295,0.6774028,0.84251076,0.47135124,0.611603,0.30125841,0.8635228,0.75866026,0.13540341,0.9314372,0.90423703
layer_3,0.6610212,0.78688353,0.17167836,0.4012316,0.6754598,0.76090634,0.7347369,0.8718873,0.86795086,0.87102735,0.8255611,0.6347964
layer_4,0.5464865,0.39778343,0.86702234,0.6582983,0.8879041,0.8685757,0.7358407,0.9029921,0.7866859,0.89220315,0.8852413,0.92204374
layer_5,0.7816125,0.8072952,0.9109181,0.9096546,0.3999111,0.89357215,0.8979775,0.47301936,0.9078404,0.88384765,0.66314334,0.9140727
layer_6,0.8624703,0.8555116,0.7939264,0.3971627,0.9117221,0.8579235,0.89798474,0.83957344,0.64906114,0.8046973,0.7501426,0.53636986
layer_7,0.8853985,0.74970543,0.34239253,0.3314132,0.63812155,0.9036557,0.89437467,0.8950424,0.87561595,0.9165523,0.7841079,0.68019193
layer_8,0.78693444,0.7781164,0.8932823,0.6092908,0.8437425,0.6319954,0.63497865,0.5023579,0.47940692,0.81127465,0.82629234,0.8042185
layer_9,0.8663991,0.7993682,0.76395696,0.2716245,0.8701239,0.60128224,0.68720686,0.90523034,0.76389736,0.42513594,0.8430557,0.70359737
layer_10,0.4360419,0.97672224,0.8310562,0.79455334,0.8650983,0.49155533,1.0,0.7731493,0.8822138,0.86487734,0.73801136,0.8974203
layer_11,0.32766703,0.6078764,0.98581266,0.2951303,0.14728671,0.85670626,0.900298,0.780326,0.775322,0.77427834,0.5513882,0.45446995
