,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,148.7418,172.81094,179.88042,154.39766,194.2845,178.44928,143.04019,109.468285,176.48834,144.66125,178.81508,162.8336,177.12276,158.82231,171.38618,191.02385,178.86446,177.724,169.7879,159.61511,174.02966,162.52724,125.1571,133.47366,181.6397,194.64369,170.1774,182.73315,166.18376,117.482185,151.10489,165.52356
layer_1,171.40897,151.87097,180.1285,156.09962,131.13484,142.81929,175.48254,144.31035,160.28935,141.70221,141.33418,157.36162,166.65489,126.70509,144.84396,117.16406,157.11255,134.01596,89.85286,176.0001,143.12398,144.68657,165.01202,147.10036,82.4289,171.70673,126.52973,49.075413,74.48367,135.06216,96.63181,168.81349
layer_2,6.4627256,15.283829,5.8028774,7.1034236,13.42055,11.409573,11.633896,31.254942,8.219241,14.640121,8.799566,39.185623,9.825611,7.306476,11.337868,20.642801,16.858433,7.1355324,4.1742454,9.112223,9.4517355,4.768477,23.803686,14.322342,7.2771316,6.646893,9.205025,29.42957,17.401081,51.403988,64.96464,7.935441
layer_3,7.987115,8.318496,6.0740633,42.17212,10.622326,21.072266,13.554828,10.30117,2.7763364,12.404613,7.732366,18.719522,6.9370584,9.824236,8.289264,8.62007,25.229969,6.5957522,11.292964,6.3919215,25.225042,19.68848,34.427322,6.665069,7.133091,11.515889,12.077931,7.8327336,4.4104786,11.165499,19.867138,0.90813917
layer_4,93.679955,15.5989065,13.214388,9.77729,15.937122,31.695753,30.129019,12.722012,6.061012,68.18391,38.12614,25.109486,17.611593,7.41152,20.159233,18.666279,12.348875,32.84888,31.257456,54.237495,14.5950165,13.349995,58.766167,28.640036,23.311056,15.284515,45.783176,17.055202,27.49946,57.808765,64.91429,16.354826
layer_5,85.09126,21.235811,13.681804,3.8910394,33.931934,4.1488667,12.780143,10.620291,80.659355,36.498493,48.43031,7.0456634,24.56448,27.046501,33.64986,137.65176,20.54335,8.151068,58.498726,43.72805,31.66115,10.744562,81.68524,9.78538,114.17814,3.868885,16.444328,8.855127,10.700844,7.0115995,43.866486,36.8823
layer_6,12.132779,47.95171,11.396397,50.32937,59.06343,38.534138,25.862007,12.239267,26.614382,1.4400105,42.60916,15.282978,4.5794687,25.646463,32.008274,46.05154,0.62227476,4.4088917,50.69727,65.973465,4.0387206,6.846924,99.07473,14.834975,29.181952,22.722075,25.958801,38.204056,18.420668,23.22919,5.007311,31.108406
layer_7,15.918012,12.890988,17.0101,23.667551,1.4431573,71.80313,1.4916041,26.3626,119.66775,60.055317,0.5610865,67.201805,0.6871759,13.70568,10.275096,8.325421,55.5837,39.870716,85.83906,34.11161,8.019032,72.44416,31.754978,3.6395001,57.417145,48.827446,21.36267,15.093418,2.4052317,8.914689,6.523467,8.461948
layer_8,6.341315,47.609463,55.413914,28.380331,7.2133,29.41715,32.36617,9.327985,16.490103,31.803919,55.93997,77.29145,42.359386,44.731102,2.5164275,122.27262,68.216675,106.394905,46.731953,15.598024,33.407528,15.792217,7.12105,27.278967,41.880062,1.2497554,2.0640361,58.229927,29.586845,73.84397,159.77806,3.3322575
layer_9,6.9887633,30.242804,112.62922,29.208534,26.072363,115.631195,59.961403,73.20584,2.8984582,35.350117,91.66605,35.345337,52.946846,19.41081,34.266438,53.186058,41.031708,24.26855,85.12574,69.00541,44.222824,39.95346,15.133772,2.8874514,60.438328,11.096791,11.400507,140.63463,39.229126,37.53256,66.218834,37.61197
layer_10,24.58965,9.536552,42.518635,84.69099,16.118294,53.71907,42.704098,17.491322,31.742212,81.59036,18.294577,47.7761,11.186348,14.989609,7.1367025,67.69954,46.57487,96.09552,5.676478,26.110497,36.87794,36.98393,74.7723,19.111744,34.872658,102.12628,74.735985,56.058956,76.23279,85.8158,73.78272,31.916077
layer_11,70.498375,45.394363,1.6892147,38.065956,33.30973,4.732369,28.951752,37.66544,80.103,16.37813,12.66534,64.69533,38.951786,57.273277,3.086203,1.4727501,119.17411,24.170826,3.4199102,22.962679,41.89844,30.283396,11.543201,11.636265,54.462933,49.4189,22.220768,126.62055,53.39151,13.011971,18.882858,40.964943
layer_12,61.28812,93.65251,1.6319253,80.24868,19.234545,44.846092,40.986618,18.630587,41.33278,79.56998,27.748892,32.835663,45.324944,48.121674,67.10547,14.812437,5.0323424,59.05625,10.851038,21.75909,67.93705,52.72053,11.800411,6.8980494,80.91481,36.374523,8.201693,105.75305,4.6482096,90.92926,22.639149,101.95398
layer_13,59.110134,31.025211,85.380875,14.929228,72.7261,52.35132,10.618612,10.092647,115.270004,19.879202,29.079178,2.3616602,130.14746,35.843937,15.3963995,10.112177,39.629906,115.42512,73.7657,7.402242,13.765986,44.208237,63.958977,3.8508987,12.183618,32.646156,36.655273,29.887798,20.467255,118.2842,63.20095,21.82522
layer_14,46.331776,4.5225716,132.96188,49.775482,14.259487,29.378822,10.525529,10.087022,24.046833,28.387205,24.921795,43.02094,36.60515,4.139721,93.885345,17.739746,51.40486,52.860825,4.541292,23.532684,98.291565,109.91294,94.11605,26.175795,4.6891665,28.519554,24.792154,34.47496,21.402184,85.57858,53.552002,16.273312
layer_15,27.034142,25.024614,104.98753,14.798846,22.442331,20.340153,59.116276,38.771965,19.34613,88.36529,27.413439,218.13144,2.0254064,57.01734,8.278516,14.871919,94.307236,13.672455,26.125154,32.587654,58.77874,33.23703,34.036034,77.54768,36.829136,44.557674,22.900805,44.879433,40.937405,32.354618,34.87208,72.04781
