,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,183,0,122,0,2,0,189,212,174,171,75,127
layer_1,140,181,240,80,159,119,87,145,88,80,213,0
layer_2,185,80,29,63,96,142,100,153,142,226,211,80
layer_3,80,88,40,25,80,80,50,171,164,85,80,91
layer_4,74,87,80,115,80,83,94,12,116,80,80,43
layer_5,83,80,81,82,81,80,75,80,80,80,80,80
layer_6,97,80,80,80,149,80,80,80,60,80,81,80
layer_7,153,80,80,80,80,80,80,80,78,80,80,80
layer_8,80,80,80,80,80,80,145,82,80,80,80,81
layer_9,80,80,80,83,80,80,80,80,159,80,80,80
layer_10,85,80,80,80,80,80,80,80,80,81,81,80
layer_11,91,80,80,80,80,84,81,80,182,80,80,80
