,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,75,2,7,3,2,0,0,45,7,11,3,0
layer_1,6,4,0,24,9,0,1,1,0,2,0,0
layer_2,0,0,0,0,0,0,4,0,0,18,0,8
layer_3,0,0,3,0,52,0,3,0,0,0,4,64
layer_4,0,80,0,1,0,0,31,0,0,0,0,0
layer_5,9,15,0,1,36,3,0,24,0,4,0,0
layer_6,0,2,0,4,0,0,1,0,2,11,38,92
layer_7,12,2,76,50,3,1,8,0,3,0,2,50
layer_8,26,14,1,49,39,58,28,109,100,0,22,8
layer_9,0,19,2,2,2,10,2,6,9,1,0,8
layer_10,4,10,41,5,3,49,0,4,0,3,33,29
layer_11,4,1,1,7,30,31,7,52,52,22,4,4
