,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,0.06293499,0.0636224,0.061817113,0.11183664,0.10776826,0.16372111,0.28991032,0.18412156,0.215344,0.28474098,0.09078127,0.43691492,0.3714252,0.48025778,0.04358009,0.4126105
layer_1,0.030392416,0.08800975,0.054303423,0.13421434,0.0779983,0.12313104,0.119265676,0.26043436,0.2306763,0.18438427,0.25520247,0.16698582,0.32389724,0.3619887,0.1998527,0.33466443
layer_2,0.05057445,0.09989319,0.09442199,0.09212748,0.11421491,0.09726625,0.1777442,0.3909851,0.13573903,0.074985154,0.1527774,0.20715824,0.27929273,0.1167609,0.10796293,0.13406113
layer_3,0.07533013,0.064918295,0.16126786,0.08524637,0.1849504,0.32649282,0.07865117,0.17791067,0.18156394,0.077642016,0.087508656,0.096445374,0.13823135,0.17354538,0.12843095,0.11434947
layer_4,0.04048325,0.18246979,0.046098538,0.16781904,0.1953536,0.36487973,0.57951343,0.35155088,0.20629476,0.09509189,0.37822562,0.09429545,0.15811177,0.13476732,0.29172897,0.16892365
layer_5,0.054512855,0.107603796,0.32236126,0.27113894,0.30971724,0.4772825,0.21940719,0.17966777,0.25741997,0.21954483,0.22266337,0.18886921,0.2274573,0.20947598,0.18683454,0.19297475
layer_6,0.16490348,0.16595635,0.18314953,0.5985998,0.26644546,0.2059234,0.53864324,0.33021235,0.21950397,0.1880804,0.18782532,0.19407167,0.19961496,0.17708151,0.19166012,0.1944692
layer_7,0.037787367,0.2174709,0.0323922,0.2998099,0.025673734,0.62973505,0.7100928,0.45452604,0.3235152,0.25849083,0.21305135,0.21014959,0.18876755,0.19149461,0.18687001,0.19218008
layer_8,0.040329635,0.014250174,0.23045996,0.740833,0.35589555,0.55351925,0.25324047,0.2861665,0.290341,0.20376061,0.1987817,0.1915955,0.18633819,0.18732311,0.18475412,0.18643624
layer_9,0.07621619,0.28975463,0.0865557,0.39342472,0.47699127,0.22792715,0.47972623,0.18957366,0.19241464,0.19001316,0.1877125,0.18899584,0.19430535,0.19033016,0.18556635,0.18649098
layer_10,0.39094493,0.38009217,0.32946783,1.0,0.58899856,0.33478177,0.66088116,0.21365175,0.1896531,0.21126704,0.19330437,0.23079398,0.18774027,0.1855172,0.18612024,0.1863887
layer_11,0.10769847,0.3082489,0.32387558,0.487241,0.1936836,0.49893963,0.23750034,0.22242549,0.20082751,0.18865876,0.19279468,0.18686187,0.1868175,0.18704715,0.18609357,0.18666948
layer_12,0.20762055,0.3259317,0.5273385,0.5385293,0.4206122,0.24799575,0.28247947,0.33236098,0.20325162,0.20330635,0.18791094,0.19949663,0.1872903,0.18721022,0.18687353,0.18768257
layer_13,0.22283381,0.31404275,0.6662576,0.4510161,0.24375106,0.2154524,0.2056698,0.20431681,0.24446854,0.19015189,0.24424374,0.1877125,0.1880161,0.1884955,0.20150836,0.18687001
layer_14,0.19129452,0.73710257,0.24591422,0.33337003,0.2662982,0.3558278,0.22048552,0.19341587,0.25854808,0.19675371,0.18727379,0.1877125,0.18981388,0.18864869,0.1888618,0.19706161
layer_15,0.120968804,0.5319911,0.62405485,0.28716794,0.22031376,0.19537564,0.44495225,0.19906314,0.20662154,0.19069597,0.38318276,0.19077942,0.18748257,0.1921804,0.1868935,0.18961841
layer_16,0.07408133,0.21959534,0.20618682,0.37068158,0.21963587,0.35910097,0.19394118,0.19426624,0.18868375,0.18874064,0.1884864,0.18687001,0.18775477,0.191596,0.18687001,0.18769012
layer_17,0.08435839,0.25251955,0.66729236,0.71805537,0.29003274,0.20079769,0.24258131,0.46670407,0.19281495,0.19590828,0.18832128,0.18849546,0.18765156,0.18578708,0.18774244,0.18750028
layer_18,0.5924206,0.18266846,0.37479067,0.354019,0.25999147,0.22528072,0.19678496,0.23097451,0.19375415,0.18867733,0.18942071,0.18757646,0.18771622,0.18759595,0.2019589,0.18687001
layer_19,0.12121794,0.4049059,0.3027361,0.35072896,0.19845138,0.29833907,0.34838635,0.19427247,0.19800259,0.19087045,0.1887673,0.18824063,0.26666442,0.1872837,0.18579748,0.29437935
layer_20,0.06583253,0.17976707,0.27617237,0.2073327,0.2849006,0.25918105,0.25034207,0.24073327,0.22577597,0.18765944,0.18913656,0.18766566,0.18673211,0.18367642,0.18758929,0.18820792
layer_21,0.08545031,0.060174067,0.3672249,0.7558296,0.2012858,0.25143683,0.2624928,0.1956306,0.2752675,0.1863182,0.18932188,0.18685038,0.18728906,0.186913,0.4081774,0.21772502
layer_22,0.062070232,0.120051496,0.21093474,0.19414057,0.27089438,0.419725,0.3421778,0.22033992,0.19181687,0.18860509,0.18727121,0.18719421,0.09005793,0.18690732,0.18731347,0.20439725
layer_23,0.10205967,0.12027665,0.13626555,0.2555281,0.25821996,0.37926388,0.20077588,0.15844622,0.10719552,0.16234383,0.27052423,0.29458892,0.30613184,0.21182702,0.2002205,0.31528315
