,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,29,0,24,0,0,0,3,29,28,3,45,0
layer_1,25,29,0,2,2,8,1,6,0,51,0,4
layer_2,2,0,45,7,0,2,2,0,0,4,0,0
layer_3,0,0,6,0,0,0,1,0,6,10,0,6
layer_4,4,11,1,3,1,0,0,0,96,0,0,0
layer_5,86,0,0,12,0,1,0,135,14,0,1,0
layer_6,1,29,17,104,0,0,2,13,89,0,7,3
layer_7,0,24,5,5,0,2,0,0,21,0,0,9
layer_8,1,2,0,4,0,0,92,22,3,3,0,0
layer_9,12,1,25,115,0,2,1,0,60,9,0,0
layer_10,7,0,0,0,3,72,3,1,0,110,1,0
layer_11,48,16,0,8,42,24,0,1,1,12,25,77
